"","unq","f.ratio","f.msy","fmsy.id","f","f.ts","stocklong.x","stocklong.y","stockid","assessid","year","b.ts","b","bmsy.id","b.msy","b.ratio","region","overfished","bmsy.status","fmsy.status","rebuilding"
"110.1","bocaccio southern pacific coast 2012",0.130952380952381,0.084,"FMSY-1/yr",0.011,"F","bocaccio southern pacific coast","bocaccio southern pacific coast","BOCACCSPCOAST","PFMC-BOCACCSPCOAST-1930-2012-KURIYAMA",2013,"SSB",16537,"SSBmsy",45476,0.3636423608057,"west","Overfished","below","none","rebuilding"
"1111","canary rockfish pacific coast 2000",0.680921052631579,0.0304,"Fmsy-1/yr",0.0207,"F-1/T","canary rockfish pacific coast","canary rockfish pacific coast","CROCKPCOAST","NWFSC-CROCKPCOAST-1916-2011-STACHURA",2000,"SSB-MT",3124,"SSBmsy-MT",10464,0.298547400611621,"west","Overfished","below","none","rebuilding"
"112","canary rockfish pacific coast 2001",0.424342105263158,0.0304,"Fmsy-1/yr",0.0129,"F-1/T","canary rockfish pacific coast","canary rockfish pacific coast","CROCKPCOAST","NWFSC-CROCKPCOAST-1916-2011-STACHURA",2001,"SSB-MT",3483,"SSBmsy-MT",10464,0.332855504587156,"west","Overfished","below","none","rebuilding"
"113","canary rockfish pacific coast 2002",0.361842105263158,0.0304,"Fmsy-1/yr",0.011,"F-1/T","canary rockfish pacific coast","canary rockfish pacific coast","CROCKPCOAST","NWFSC-CROCKPCOAST-1916-2011-STACHURA",2002,"SSB-MT",3849,"SSBmsy-MT",10464,0.367832568807339,"west","Overfished","below","none","rebuilding"
"114","canary rockfish pacific coast 2003",0.358552631578947,0.0304,"Fmsy-1/yr",0.0109,"F-1/T","canary rockfish pacific coast","canary rockfish pacific coast","CROCKPCOAST","NWFSC-CROCKPCOAST-1916-2011-STACHURA",2003,"SSB-MT",4196,"SSBmsy-MT",10464,0.400993883792049,"west","Overfished","below","none","rebuilding"
"115","canary rockfish pacific coast 2004",0.226973684210526,0.0304,"Fmsy-1/yr",0.0069,"F-1/T","canary rockfish pacific coast","canary rockfish pacific coast","CROCKPCOAST","NWFSC-CROCKPCOAST-1916-2011-STACHURA",2004,"SSB-MT",4520,"SSBmsy-MT",10464,0.431957186544343,"west","Overfished","below","none","rebuilding"
"116","canary rockfish pacific coast 2005",0.148026315789474,0.0304,"Fmsy-1/yr",0.0045,"F-1/T","canary rockfish pacific coast","canary rockfish pacific coast","CROCKPCOAST","NWFSC-CROCKPCOAST-1916-2011-STACHURA",2005,"SSB-MT",4834,"SSBmsy-MT",10464,0.461964831804281,"west","Overfished","below","none","rebuilding"
"117","canary rockfish pacific coast 2006",0.144736842105263,0.0304,"Fmsy-1/yr",0.0044,"F-1/T","canary rockfish pacific coast","canary rockfish pacific coast","CROCKPCOAST","NWFSC-CROCKPCOAST-1916-2011-STACHURA",2006,"SSB-MT",5138,"SSBmsy-MT",10464,0.491016819571865,"west","Overfished","below","none","rebuilding"
"118","canary rockfish pacific coast 2007",0.105263157894737,0.0304,"Fmsy-1/yr",0.0032,"F-1/T","canary rockfish pacific coast","canary rockfish pacific coast","CROCKPCOAST","NWFSC-CROCKPCOAST-1916-2011-STACHURA",2007,"SSB-MT",5431,"SSBmsy-MT",10464,0.519017584097859,"west","not overfished","below","none","rebuilding"
"119","canary rockfish pacific coast 2008",0.0921052631578947,0.0304,"Fmsy-1/yr",0.0028,"F-1/T","canary rockfish pacific coast","canary rockfish pacific coast","CROCKPCOAST","NWFSC-CROCKPCOAST-1916-2011-STACHURA",2008,"SSB-MT",5720,"SSBmsy-MT",10464,0.546636085626911,"west","not overfished","below","none","rebuilding"
"120","canary rockfish pacific coast 2009",0.0822368421052632,0.0304,"Fmsy-1/yr",0.0025,"F-1/T","canary rockfish pacific coast","canary rockfish pacific coast","CROCKPCOAST","NWFSC-CROCKPCOAST-1916-2011-STACHURA",2009,"SSB-MT",5997,"SSBmsy-MT",10464,0.573107798165138,"west","not overfished","below","none","rebuilding"
"121","canary rockfish pacific coast 2010",0.171052631578947,0.0304,"Fmsy-1/yr",0.0052,"F-1/T","canary rockfish pacific coast","canary rockfish pacific coast","CROCKPCOAST","NWFSC-CROCKPCOAST-1916-2011-STACHURA",2010,"SSB-MT",6254,"SSBmsy-MT",10464,0.597668195718654,"west","not overfished","below","none","rebuilding"
"121.1","canary rockfish pacific coast 2010",0.171052631578947,0.0304,"Fmsy-1/yr",0.0052,"F-1/T","canary rockfish pacific coast","canary rockfish pacific coast","CROCKPCOAST","NWFSC-CROCKPCOAST-1916-2011-STACHURA",2011,"SSB-MT",6254,"SSBmsy-MT",10464,0.597668195718654,"west","not overfished","below","none","rebuilding"
"121.2","canary rockfish pacific coast 2010",0.171052631578947,0.0304,"Fmsy-1/yr",0.0052,"F-1/T","canary rockfish pacific coast","canary rockfish pacific coast","CROCKPCOAST","NWFSC-CROCKPCOAST-1916-2011-STACHURA",2012,"SSB-MT",6254,"SSBmsy-MT",10464,0.597668195718654,"west","not overfished","below","none","rebuilding"
"121.3","canary rockfish pacific coast 2010",0.171052631578947,0.0304,"Fmsy-1/yr",0.0052,"F-1/T","canary rockfish pacific coast","canary rockfish pacific coast","CROCKPCOAST","NWFSC-CROCKPCOAST-1916-2011-STACHURA",2013,"SSB-MT",6254,"SSBmsy-MT",10464,0.597668195718654,"west","not overfished","below","none","rebuilding"
"123","chilipepper southern pacific coast 2000",0.330357142857143,0.112,"Fmsy-1/yr",0.037,"F-1/yr","chilipepper southern pacific coast","chilipepper southern pacific coast","CHILISPCOAST","NWFSC-CHILISPCOAST-1892-2007-BRANCH",2000,"SSB-MT",9029,"SSBmsy-MT",12126,0.744598383638463,"west","not overfished","below","none","not"
"124","chilipepper southern pacific coast 2001",0.25,0.112,"Fmsy-1/yr",0.028,"F-1/yr","chilipepper southern pacific coast","chilipepper southern pacific coast","CHILISPCOAST","NWFSC-CHILISPCOAST-1892-2007-BRANCH",2001,"SSB-MT",9536,"SSBmsy-MT",12126,0.786409368299522,"west","not overfished","below","none","not"
"125","chilipepper southern pacific coast 2002",0.125,0.112,"Fmsy-1/yr",0.014,"F-1/yr","chilipepper southern pacific coast","chilipepper southern pacific coast","CHILISPCOAST","NWFSC-CHILISPCOAST-1892-2007-BRANCH",2002,"SSB-MT",12671,"SSBmsy-MT",12126,1.044944746825,"west","not overfished","above","none","not"
"126","chilipepper southern pacific coast 2003",0.00892857142857143,0.112,"Fmsy-1/yr",0.001,"F-1/yr","chilipepper southern pacific coast","chilipepper southern pacific coast","CHILISPCOAST","NWFSC-CHILISPCOAST-1892-2007-BRANCH",2003,"SSB-MT",17040,"SSBmsy-MT",12126,1.40524492825334,"west","not overfished","above","none","not"
"127","chilipepper southern pacific coast 2004",0.0714285714285714,0.112,"Fmsy-1/yr",0.008,"F-1/yr","chilipepper southern pacific coast","chilipepper southern pacific coast","CHILISPCOAST","NWFSC-CHILISPCOAST-1892-2007-BRANCH",2004,"SSB-MT",20229,"SSBmsy-MT",12126,1.66823354774864,"west","not overfished","above","none","not"
"128","chilipepper southern pacific coast 2005",0.0535714285714286,0.112,"Fmsy-1/yr",0.006,"F-1/yr","chilipepper southern pacific coast","chilipepper southern pacific coast","CHILISPCOAST","NWFSC-CHILISPCOAST-1892-2007-BRANCH",2005,"SSB-MT",22146,"SSBmsy-MT",12126,1.82632360217714,"west","not overfished","above","none","not"
"129","chilipepper southern pacific coast 2006",0.0357142857142857,0.112,"Fmsy-1/yr",0.004,"F-1/yr","chilipepper southern pacific coast","chilipepper southern pacific coast","CHILISPCOAST","NWFSC-CHILISPCOAST-1892-2007-BRANCH",2006,"SSB-MT",23224,"SSBmsy-MT",12126,1.91522348672274,"west","not overfished","above","none","not"
"129.1","chilipepper southern pacific coast 2006",0.0357142857142857,0.112,"Fmsy-1/yr",0.004,"F-1/yr","chilipepper southern pacific coast","chilipepper southern pacific coast","CHILISPCOAST","NWFSC-CHILISPCOAST-1892-2007-BRANCH",2007,"SSB-MT",23224,"SSBmsy-MT",12126,1.91522348672274,"west","not overfished","above","none","not"
"129.2","chilipepper southern pacific coast 2006",0.0357142857142857,0.112,"Fmsy-1/yr",0.004,"F-1/yr","chilipepper southern pacific coast","chilipepper southern pacific coast","CHILISPCOAST","NWFSC-CHILISPCOAST-1892-2007-BRANCH",2008,"SSB-MT",23224,"SSBmsy-MT",12126,1.91522348672274,"west","not overfished","above","none","not"
"129.3","chilipepper southern pacific coast 2006",0.0357142857142857,0.112,"Fmsy-1/yr",0.004,"F-1/yr","chilipepper southern pacific coast","chilipepper southern pacific coast","CHILISPCOAST","NWFSC-CHILISPCOAST-1892-2007-BRANCH",2009,"SSB-MT",23224,"SSBmsy-MT",12126,1.91522348672274,"west","not overfished","above","none","not"
"129.4","chilipepper southern pacific coast 2006",0.0357142857142857,0.112,"Fmsy-1/yr",0.004,"F-1/yr","chilipepper southern pacific coast","chilipepper southern pacific coast","CHILISPCOAST","NWFSC-CHILISPCOAST-1892-2007-BRANCH",2010,"SSB-MT",23224,"SSBmsy-MT",12126,1.91522348672274,"west","not overfished","above","none","not"
"129.5","chilipepper southern pacific coast 2006",0.0357142857142857,0.112,"Fmsy-1/yr",0.004,"F-1/yr","chilipepper southern pacific coast","chilipepper southern pacific coast","CHILISPCOAST","NWFSC-CHILISPCOAST-1892-2007-BRANCH",2011,"SSB-MT",23224,"SSBmsy-MT",12126,1.91522348672274,"west","not overfished","above","none","not"
"129.6","chilipepper southern pacific coast 2006",0.0357142857142857,0.112,"Fmsy-1/yr",0.004,"F-1/yr","chilipepper southern pacific coast","chilipepper southern pacific coast","CHILISPCOAST","NWFSC-CHILISPCOAST-1892-2007-BRANCH",2012,"SSB-MT",23224,"SSBmsy-MT",12126,1.91522348672274,"west","not overfished","above","none","not"
"129.7","chilipepper southern pacific coast 2006",0.0357142857142857,0.112,"Fmsy-1/yr",0.004,"F-1/yr","chilipepper southern pacific coast","chilipepper southern pacific coast","CHILISPCOAST","NWFSC-CHILISPCOAST-1892-2007-BRANCH",2013,"SSB-MT",23224,"SSBmsy-MT",12126,1.91522348672274,"west","not overfished","above","none","not"
"131","cowcod southern california 2000",0.145454545454545,0.055,"Fmsy-1/MT",0.008,"F","cowcod southern california","cowcod southern california","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA",2000,"SSB-MT",306.5,"SSB0-MT",1549,0.197869593285991,"west","Overfished","below","none","rebuilding"
"132","cowcod southern california 2000",0.145454545454545,0.055,"Fmsy-1/MT",0.008,"F","cowcod southern california","cowcod southern california","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA",2000,"SSB-MT",306.5,"SSBmsy-MT",629,0.487281399046105,"west","Overfished","below","none","rebuilding"
"133","cowcod southern california 2001",0.0181818181818182,0.055,"Fmsy-1/MT",0.001,"F","cowcod southern california","cowcod southern california","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA",2001,"SSB-MT",318,"SSBmsy-MT",629,0.505564387917329,"west","not overfished","below","none","rebuilding"
"134","cowcod southern california 2001",0.0181818181818182,0.055,"Fmsy-1/MT",0.001,"F","cowcod southern california","cowcod southern california","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA",2001,"SSB-MT",318,"SSB0-MT",1549,0.205293737895416,"west","Overfished","below","none","rebuilding"
"135","cowcod southern california 2002",0.0181818181818182,0.055,"Fmsy-1/MT",0.001,"F","cowcod southern california","cowcod southern california","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA",2002,"SSB-MT",335.1,"SSBmsy-MT",629,0.53275039745628,"west","not overfished","below","none","rebuilding"
"136","cowcod southern california 2002",0.0181818181818182,0.055,"Fmsy-1/MT",0.001,"F","cowcod southern california","cowcod southern california","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA",2002,"SSB-MT",335.1,"SSB0-MT",1549,0.216333118140736,"west","Overfished","below","none","rebuilding"
"137","cowcod southern california 2003",0.0181818181818182,0.055,"Fmsy-1/MT",0.001,"F","cowcod southern california","cowcod southern california","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA",2003,"SSB-MT",355.3,"SSB0-MT",1549,0.22937378954164,"west","Overfished","below","none","rebuilding"
"138","cowcod southern california 2003",0.0181818181818182,0.055,"Fmsy-1/MT",0.001,"F","cowcod southern california","cowcod southern california","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA",2003,"SSB-MT",355.3,"SSBmsy-MT",629,0.564864864864865,"west","not overfished","below","none","rebuilding"
"139","cowcod southern california 2004",0.0181818181818182,0.055,"Fmsy-1/MT",0.001,"F","cowcod southern california","cowcod southern california","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA",2004,"SSB-MT",374.7,"SSBmsy-MT",629,0.59570747217806,"west","not overfished","below","none","rebuilding"
"140","cowcod southern california 2004",0.0181818181818182,0.055,"Fmsy-1/MT",0.001,"F","cowcod southern california","cowcod southern california","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA",2004,"SSB-MT",374.7,"SSB0-MT",1549,0.241897998708844,"west","Overfished","below","none","rebuilding"
"141","cowcod southern california 2005",0,0.055,"Fmsy-1/MT",0,"F","cowcod southern california","cowcod southern california","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA",2005,"SSB-MT",395.6,"SSB0-MT",1549,0.255390574564235,"west","Overfished","below","none","rebuilding"
"142","cowcod southern california 2005",0,0.055,"Fmsy-1/MT",0,"F","cowcod southern california","cowcod southern california","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA",2005,"SSB-MT",395.6,"SSBmsy-MT",629,0.628934817170111,"west","not overfished","below","none","rebuilding"
"143","cowcod southern california 2006",0,0.055,"Fmsy-1/MT",0,"F","cowcod southern california","cowcod southern california","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA",2006,"SSB-MT",414.5,"SSB0-MT",1549,0.267591994835378,"west","Overfished","below","none","rebuilding"
"144","cowcod southern california 2006",0,0.055,"Fmsy-1/MT",0,"F","cowcod southern california","cowcod southern california","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA",2006,"SSB-MT",414.5,"SSBmsy-MT",629,0.658982511923688,"west","not overfished","below","none","rebuilding"
"145","cowcod southern california 2007",0,0.055,"Fmsy-1/MT",0,"F","cowcod southern california","cowcod southern california","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA",2007,"SSB-MT",433.2,"SSBmsy-MT",629,0.688712241653418,"west","not overfished","below","none","rebuilding"
"146","cowcod southern california 2007",0,0.055,"Fmsy-1/MT",0,"F","cowcod southern california","cowcod southern california","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA",2007,"SSB-MT",433.2,"SSB0-MT",1549,0.279664299548096,"west","Overfished","below","none","rebuilding"
"147","cowcod southern california 2008",0,0.055,"Fmsy-1/MT",0,"F","cowcod southern california","cowcod southern california","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA",2008,"SSB-MT",447.6,"SSB0-MT",1549,0.28896061975468,"west","Overfished","below","none","rebuilding"
"148","cowcod southern california 2008",0,0.055,"Fmsy-1/MT",0,"F","cowcod southern california","cowcod southern california","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA",2008,"SSB-MT",447.6,"SSBmsy-MT",629,0.711605723370429,"west","not overfished","below","none","rebuilding"
"149","cowcod southern california 2009",0,0.055,"Fmsy-1/MT",0,"F","cowcod southern california","cowcod southern california","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA",2009,"SSB-MT",463.2,"SSBmsy-MT",629,0.736406995230525,"west","not overfished","below","none","rebuilding"
"150","cowcod southern california 2009",0,0.055,"Fmsy-1/MT",0,"F","cowcod southern california","cowcod southern california","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA",2009,"SSB-MT",463.2,"SSB0-MT",1549,0.299031633311814,"west","Overfished","below","none","rebuilding"
"151","cowcod southern california 2010",0,0.055,"Fmsy-1/MT",0,"F","cowcod southern california","cowcod southern california","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA",2010,"SSB-MT",479.1,"SSB0-MT",1549,0.309296320206585,"west","Overfished","below","none","rebuilding"
"152","cowcod southern california 2010",0,0.055,"Fmsy-1/MT",0,"F","cowcod southern california","cowcod southern california","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA",2010,"SSB-MT",479.1,"SSBmsy-MT",629,0.761685214626391,"west","not overfished","below","none","rebuilding"
"153","cowcod southern california 2011",0.0181818181818182,0.055,"Fmsy-1/MT",0.001,"F","cowcod southern california","cowcod southern california","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA",2011,"SSB-MT",494.9,"SSB0-MT",1549,0.319496449322143,"west","Overfished","below","none","rebuilding"
"154","cowcod southern california 2011",0.0181818181818182,0.055,"Fmsy-1/MT",0.001,"F","cowcod southern california","cowcod southern california","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA",2011,"SSB-MT",494.9,"SSBmsy-MT",629,0.786804451510334,"west","not overfished","below","none","rebuilding"
"155","cowcod southern california 2012",0.0181818181818182,0.055,"Fmsy-1/MT",0.001,"F","cowcod southern california","cowcod southern california","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA",2012,"SSB-MT",509,"SSB0-MT",1549,0.328599096191091,"west","Overfished","below","none","rebuilding"
"156","cowcod southern california 2012",0.0181818181818182,0.055,"Fmsy-1/MT",0.001,"F","cowcod southern california","cowcod southern california","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA",2012,"SSB-MT",509,"SSBmsy-MT",629,0.809220985691574,"west","not overfished","below","none","rebuilding"
"157","cowcod southern california 2013",0.0181818181818182,0.055,"Fmsy-1/MT",0.001,"F","cowcod southern california","cowcod southern california","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA",2013,"SSB-MT",524.5,"SSBmsy-MT",629,0.833863275039746,"west","not overfished","below","none","rebuilding"
"158","cowcod southern california 2013",0.0181818181818182,0.055,"Fmsy-1/MT",0.001,"F","cowcod southern california","cowcod southern california","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA",2013,"SSB-MT",524.5,"SSB0-MT",1549,0.338605551969012,"west","Overfished","below","none","rebuilding"
"1581","cowcod southern california 2013",0.0181818181818182,0.055,"Fmsy-1/MT",0.001,"F","cowcod southern california","cowcod southern california","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA",2013,"SSB-MT",524.5,"SSB0-MT",1549,0.338605551969012,"west","Overfished","below","none","rebuilding"
"159","darkblotched rockfish pacific coast 2000",0.951278195488722,0.0665,"Fmsy-1/yr",0.06326,"F","darkblotched rockfish pacific coast","darkblotched rockfish pacific coast","DKROCKPCOAST","NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA",2000,"B-MT",6625,"B0-MT",36171,0.183157778330707,"west","Overfished","below","none","rebuilding"
"160","darkblotched rockfish pacific coast 2001",0.594285714285714,0.0665,"Fmsy-1/yr",0.03952,"F","darkblotched rockfish pacific coast","darkblotched rockfish pacific coast","DKROCKPCOAST","NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA",2001,"B-MT",6987,"B0-MT",36171,0.193165795803268,"west","Overfished","below","none","rebuilding"
"161","darkblotched rockfish pacific coast 2002",0.463157894736842,0.0665,"Fmsy-1/yr",0.0308,"F","darkblotched rockfish pacific coast","darkblotched rockfish pacific coast","DKROCKPCOAST","NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA",2002,"B-MT",7666,"B0-MT",36171,0.211937740178596,"west","Overfished","below","none","rebuilding"
"162","darkblotched rockfish pacific coast 2003",0.376390977443609,0.0665,"Fmsy-1/yr",0.02503,"F","darkblotched rockfish pacific coast","darkblotched rockfish pacific coast","DKROCKPCOAST","NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA",2003,"B-MT",8477,"B0-MT",36171,0.234359016891985,"west","Overfished","below","none","rebuilding"
"163","darkblotched rockfish pacific coast 2004",0.393684210526316,0.0665,"Fmsy-1/yr",0.02618,"F","darkblotched rockfish pacific coast","darkblotched rockfish pacific coast","DKROCKPCOAST","NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA",2004,"B-MT",9301,"B0-MT",36171,0.257139697547759,"west","Overfished","below","none","rebuilding"
"164","darkblotched rockfish pacific coast 2005",0.193233082706767,0.0665,"Fmsy-1/yr",0.01285,"F","darkblotched rockfish pacific coast","darkblotched rockfish pacific coast","DKROCKPCOAST","NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA",2005,"B-MT",10061,"B0-MT",36171,0.278151004948716,"west","Overfished","below","none","rebuilding"
"165","darkblotched rockfish pacific coast 2006",0.261353383458647,0.0665,"Fmsy-1/yr",0.01738,"F","darkblotched rockfish pacific coast","darkblotched rockfish pacific coast","DKROCKPCOAST","NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA",2006,"B-MT",10924,"B0-MT",36171,0.302009897431644,"west","Overfished","below","none","rebuilding"
"166","darkblotched rockfish pacific coast 2007",0.357894736842105,0.0665,"Fmsy-1/yr",0.0238,"F","darkblotched rockfish pacific coast","darkblotched rockfish pacific coast","DKROCKPCOAST","NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA",2007,"B-MT",11739,"B0-MT",36171,0.324541759973459,"west","Overfished","below","none","rebuilding"
"167","darkblotched rockfish pacific coast 2008",0.304812030075188,0.0665,"Fmsy-1/yr",0.02027,"F","darkblotched rockfish pacific coast","darkblotched rockfish pacific coast","DKROCKPCOAST","NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA",2008,"B-MT",12453,"B0-MT",36171,0.344281330347516,"west","Overfished","below","none","rebuilding"
"168","darkblotched rockfish pacific coast 2009",0.333984962406015,0.0665,"Fmsy-1/yr",0.02221,"F","darkblotched rockfish pacific coast","darkblotched rockfish pacific coast","DKROCKPCOAST","NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA",2009,"B-MT",13211,"B0-MT",36171,0.36523734483426,"west","Overfished","below","none","rebuilding"
"169","darkblotched rockfish pacific coast 2010",0.376240601503759,0.0665,"Fmsy-1/yr",0.02502,"F","darkblotched rockfish pacific coast","darkblotched rockfish pacific coast","DKROCKPCOAST","NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA",2010,"B-MT",13977,"B0-MT",36171,0.386414530977855,"west","Overfished","below","none","rebuilding"
"170","darkblotched rockfish pacific coast 2011",0.122406015037594,0.0665,"Fmsy-1/yr",0.00814,"F","darkblotched rockfish pacific coast","darkblotched rockfish pacific coast","DKROCKPCOAST","NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA",2011,"B-MT",14732,"B0-MT",36171,0.407287606093279,"west","Overfished","below","none","rebuilding"
"171","darkblotched rockfish pacific coast 2012",0.0924812030075188,0.0665,"Fmsy-1/yr",0.00615,"F","darkblotched rockfish pacific coast","darkblotched rockfish pacific coast","DKROCKPCOAST","NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA",2012,"B-MT",15691,"B0-MT",36171,0.433800558458434,"west","Overfished","below","none","rebuilding"
"171.1","darkblotched rockfish pacific coast 2012",0.0924812030075188,0.0665,"Fmsy-1/yr",0.00615,"F","darkblotched rockfish pacific coast","darkblotched rockfish pacific coast","DKROCKPCOAST","NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA",2013,"B-MT",15691,"B0-MT",36171,0.433800558458434,"west","Overfished","below","none","rebuilding"
"172","dover sole pacific coast 2000",0.129770992366412,0.131,"Fmsy-1/yr",0.017,"F-1/T","dover sole pacific coast","dover sole pacific coast","DSOLEPCOAST","SWFSC-DSOLEPCOAST-1910-2011-STACHURA",2000,"SSB-MT",340701,"SSBmsy-MT",114398,2.97820766097309,"west","not overfished","above","none","not"
"173","dover sole pacific coast 2001",0.099236641221374,0.131,"Fmsy-1/yr",0.013,"F-1/T","dover sole pacific coast","dover sole pacific coast","DSOLEPCOAST","SWFSC-DSOLEPCOAST-1910-2011-STACHURA",2001,"SSB-MT",352007,"SSBmsy-MT",114398,3.07703806010595,"west","not overfished","above","none","not"
"174","dover sole pacific coast 2002",0.0916030534351145,0.131,"Fmsy-1/yr",0.012,"F-1/T","dover sole pacific coast","dover sole pacific coast","DSOLEPCOAST","SWFSC-DSOLEPCOAST-1910-2011-STACHURA",2002,"SSB-MT",361507,"SSBmsy-MT",114398,3.16008146995577,"west","not overfished","above","none","not"
"175","dover sole pacific coast 2003",0.099236641221374,0.131,"Fmsy-1/yr",0.013,"F-1/T","dover sole pacific coast","dover sole pacific coast","DSOLEPCOAST","SWFSC-DSOLEPCOAST-1910-2011-STACHURA",2003,"SSB-MT",368402,"SSBmsy-MT",114398,3.22035350268361,"west","not overfished","above","none","not"
"176","dover sole pacific coast 2004",0.0839694656488549,0.131,"Fmsy-1/yr",0.011,"F-1/T","dover sole pacific coast","dover sole pacific coast","DSOLEPCOAST","SWFSC-DSOLEPCOAST-1910-2011-STACHURA",2004,"SSB-MT",373512,"SSBmsy-MT",114398,3.26502211577125,"west","not overfished","above","none","not"
"177","dover sole pacific coast 2005",0.0839694656488549,0.131,"Fmsy-1/yr",0.011,"F-1/T","dover sole pacific coast","dover sole pacific coast","DSOLEPCOAST","SWFSC-DSOLEPCOAST-1910-2011-STACHURA",2005,"SSB-MT",379112,"SSBmsy-MT",114398,3.31397402052483,"west","not overfished","above","none","not"
"178","dover sole pacific coast 2006",0.0687022900763359,0.131,"Fmsy-1/yr",0.009,"F-1/T","dover sole pacific coast","dover sole pacific coast","DSOLEPCOAST","SWFSC-DSOLEPCOAST-1910-2011-STACHURA",2006,"SSB-MT",384556,"SSBmsy-MT",114398,3.36156226507456,"west","not overfished","above","none","not"
"179","dover sole pacific coast 2007",0.106870229007634,0.131,"Fmsy-1/yr",0.014,"F-1/T","dover sole pacific coast","dover sole pacific coast","DSOLEPCOAST","SWFSC-DSOLEPCOAST-1910-2011-STACHURA",2007,"SSB-MT",390893,"SSBmsy-MT",114398,3.41695659015018,"west","not overfished","above","none","not"
"180","dover sole pacific coast 2008",0.137404580152672,0.131,"Fmsy-1/yr",0.018,"F-1/T","dover sole pacific coast","dover sole pacific coast","DSOLEPCOAST","SWFSC-DSOLEPCOAST-1910-2011-STACHURA",2008,"SSB-MT",396088,"SSBmsy-MT",114398,3.46236822322069,"west","not overfished","above","none","not"
"181","dover sole pacific coast 2009",0.145038167938931,0.131,"Fmsy-1/yr",0.019,"F-1/T","dover sole pacific coast","dover sole pacific coast","DSOLEPCOAST","SWFSC-DSOLEPCOAST-1910-2011-STACHURA",2009,"SSB-MT",398921,"SSBmsy-MT",114398,3.48713264217906,"west","not overfished","above","none","not"
"182","dover sole pacific coast 2010",0.129770992366412,0.131,"Fmsy-1/yr",0.017,"F-1/T","dover sole pacific coast","dover sole pacific coast","DSOLEPCOAST","SWFSC-DSOLEPCOAST-1910-2011-STACHURA",2010,"SSB-MT",397836,"SSBmsy-MT",114398,3.47764821063305,"west","not overfished","above","none","not"
"182.1","dover sole pacific coast 2010",0.129770992366412,0.131,"Fmsy-1/yr",0.017,"F-1/T","dover sole pacific coast","dover sole pacific coast","DSOLEPCOAST","SWFSC-DSOLEPCOAST-1910-2011-STACHURA",2011,"SSB-MT",397836,"SSBmsy-MT",114398,3.47764821063305,"west","not overfished","above","none","not"
"182.2","dover sole pacific coast 2010",0.129770992366412,0.131,"Fmsy-1/yr",0.017,"F-1/T","dover sole pacific coast","dover sole pacific coast","DSOLEPCOAST","SWFSC-DSOLEPCOAST-1910-2011-STACHURA",2012,"SSB-MT",397836,"SSBmsy-MT",114398,3.47764821063305,"west","not overfished","above","none","not"
