"","stockid","assessid","stocklong","bioid","biovalue"
"251","STFLOUNNPCOAST","SWFSC-STFLOUNNPCOAST-1970-2005-STANTON","starry flounder northern pacific coast","SSBmsy-MT",1930
"252","STFLOUNNPCOAST","SWFSC-STFLOUNNPCOAST-1970-2005-STANTON","starry flounder northern pacific coast","Umsy-ratio",0.169
"253","STFLOUNSPCOAST","SWFSC-STFLOUNSPCOAST-1970-2005-STANTON","starry flounder southern pacific coast","B0-MT",5854
"254","STFLOUNSPCOAST","SWFSC-STFLOUNSPCOAST-1970-2005-STANTON","starry flounder southern pacific coast","MSY-MT",396
"255","STFLOUNSPCOAST","SWFSC-STFLOUNSPCOAST-1970-2005-STANTON","starry flounder southern pacific coast","SSBmsy-MT",934
"256","STFLOUNSPCOAST","SWFSC-STFLOUNSPCOAST-1970-2005-STANTON","starry flounder southern pacific coast","Umsy-ratio",0.169
"209","BOCACCSPCOAST","PFMC-BOCACCSPCOAST-1930-2012-KURIYAMA","bocaccio southern pacific coast","SSBmsy",45476
"210","BOCACCSPCOAST","PFMC-BOCACCSPCOAST-1930-2012-KURIYAMA","bocaccio southern pacific coast","FMSY-1/yr",0.084
"2111","BOCACCSPCOAST","PFMC-BOCACCSPCOAST-1930-2012-KURIYAMA","bocaccio southern pacific coast","MSY-MT",1378
"2121","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA","cowcod southern california","SSB0-MT",1549
"2131","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA","cowcod southern california","SSBmsy-MT",629
"2141","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA","cowcod southern california","Fmsy-1/MT",0.055
"215","DKROCKPCOAST","NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA","darkblotched rockfish pacific coast","B0-MT",36171
"216","DKROCKPCOAST","NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA","darkblotched rockfish pacific coast","Fmsy-1/yr",0.0665
"217","DKROCKPCOAST","NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA","darkblotched rockfish pacific coast","MSY-MT",742
"218","DKROCKPCOAST","NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA","darkblotched rockfish pacific coast","SSBmsy-E08eggs",819
"2191","PHAKEPCOAST","NWFSC-PHAKEPCOAST-1966-2014-KURIYAMA","pacific hake pacific coast","SSBmsy-MT",347000
"2201","PHAKEPCOAST","NWFSC-PHAKEPCOAST-1966-2014-KURIYAMA","pacific hake pacific coast","MSY-MT",363000
"2211","PHAKEPCOAST","NWFSC-PHAKEPCOAST-1966-2014-KURIYAMA","pacific hake pacific coast","Fmsy-1/T",0.342
"2221","PHAKEPCOAST","NWFSC-PHAKEPCOAST-1966-2014-KURIYAMA","pacific hake pacific coast","B0-MT",2132000
"2231","AUROPCOAST","NWFSC-AUROPCOAST-1916-2013-KURIYAMA","aurora rockfish pacific coast","SSBmsy-MT",648
"2241","AUROPCOAST","NWFSC-AUROPCOAST-1916-2013-KURIYAMA","aurora rockfish pacific coast","MSY-MT",79
"2251","AUROPCOAST","NWFSC-AUROPCOAST-1916-2013-KURIYAMA","aurora rockfish pacific coast","Umsy-ratio",0.051
"2261","ROBLPCOAST","NWFSC-ROBLPCOAST-1916-2013-KURIYAMA","rougheye and blackspotted rockfish complex pacific coast","B0-MT",5394
"2271","ROBLPCOAST","NWFSC-ROBLPCOAST-1916-2013-KURIYAMA","rougheye and blackspotted rockfish complex pacific coast","Umsy-ratio",0.053
"2281","ROBLPCOAST","NWFSC-ROBLPCOAST-1916-2013-KURIYAMA","rougheye and blackspotted rockfish complex pacific coast","SSBmsy-MT",1305
"2291","ROBLPCOAST","NWFSC-ROBLPCOAST-1916-2013-KURIYAMA","rougheye and blackspotted rockfish complex pacific coast","MSY-mt",230
"2301","LSTHORNHPCOAST","NWFSC-LSTHORNHPCOAST-1964-2013-KURIYAMA","longspine thornyhead pacific coast","SSBmsy-MT",13108
"2311","LSTHORNHPCOAST","NWFSC-LSTHORNHPCOAST-1964-2013-KURIYAMA","longspine thornyhead pacific coast","Umsy-ratio",0.071
"2321","LSTHORNHPCOAST","NWFSC-LSTHORNHPCOAST-1964-2013-KURIYAMA","longspine thornyhead pacific coast","MSY-MT",2529
"2331","PSOLEPCOAST","PFMC-PSOLEPCOAST-1930-2012-KURIYAMA","petrale sole pacific coast","SSBmsy-MT",7146
"2341","PSOLEPCOAST","PFMC-PSOLEPCOAST-1930-2012-KURIYAMA","petrale sole pacific coast","Umsy-ratio",0.19
"2351","PSOLEPCOAST","PFMC-PSOLEPCOAST-1930-2012-KURIYAMA","petrale sole pacific coast","MSY-MT",2761
"2361","SSTHORNHPCOAST","NWFSC-SSTHORNHPCOAST-1901-2012-KURIYAMA","shortspine thornyhead pacific coast","SSBmsy-MT",64600
"2371","SSTHORNHPCOAST","NWFSC-SSTHORNHPCOAST-1901-2012-KURIYAMA","shortspine thornyhead pacific coast","MSY-MT",2062
"2381","SSTHORNHPCOAST","NWFSC-SSTHORNHPCOAST-1901-2012-KURIYAMA","shortspine thornyhead pacific coast","Umsy-ratio",0.018
"2391","POLLNE","NEFSC-POLLNE-1963-2009-KURIYAMA","pollock nafo","SSBmsy-MT",91000
"2401","POLLNE","NEFSC-POLLNE-1963-2009-KURIYAMA","pollock nafo","ERmsy-ratio",0.25
"2411","WINFLOUNSNEMATL","NEFSC-WINFLOUNSNEMATL-1981-2010-KURIYAMA","winter flounder southern new england-mid atlantic","SSBmsy-MT",43661
"2421","WINFLOUNSNEMATL","NEFSC-WINFLOUNSNEMATL-1981-2010-KURIYAMA","winter flounder southern new england-mid atlantic","Fmsy",0.29
"2431","WINFLOUNSNEMATL","NEFSC-WINFLOUNSNEMATL-1981-2010-KURIYAMA","winter flounder southern new england-mid atlantic","MSY-MT",11728
"2441","CODGOM","NEFSC-CODGOM-1982-2012-KURIYAMA","atlantic cod gulf of maine","SSBmsy-MT",54753
"2451","CODGOM","NEFSC-CODGOM-1982-2012-KURIYAMA","atlantic cod gulf of maine","Fmsy",0.18
"2461","CODGOM","NEFSC-CODGOM-1982-2012-KURIYAMA","atlantic cod gulf of maine","MSY-MT",5254
"2471","YELLSNEMATL","NEFSC-YELLSNEMATL-1973-2011-KURIYAMA","yellowtail flounder southern new england-mid atlantic","Fmsy",0.316
"2481","YELLSNEMATL","NEFSC-YELLSNEMATL-1973-2011-KURIYAMA","yellowtail flounder southern new england-mid atlantic","SSBmsy-MT",2995
"2491","YELLSNEMATL","NEFSC-YELLSNEMATL-1973-2011-KURIYAMA","yellowtail flounder southern new england-mid atlantic","MSY-MT",773
"2501","CODGB","NEFSC-CODGB-1978-2011-KURIYAMA","atlantic cod georges bank","Fmsy",0.18
"2511","CODGB","NEFSC-CODGB-1978-2011-KURIYAMA","atlantic cod georges bank","SSBmsy-MT",186535
"2521","WHAKEGBGOM","NEFSC-WHAKEGBGOM-1963-2011-KURIYAMA","white hake georges bank / gulf of maine","SSBmsy-MT",32400
"2531","WHAKEGBGOM","NEFSC-WHAKEGBGOM-1963-2011-KURIYAMA","white hake georges bank / gulf of maine","Fmsy",0.2
"2541","WHAKEGBGOM","NEFSC-WHAKEGBGOM-1963-2011-KURIYAMA","white hake georges bank / gulf of maine","MSY-MT",5630
"2551","HAD5Y","NEFSC-HAD5Y-2004-2013-KURIYAMA","haddock nafo-5y","SSBmsy-MT",4108
"2561","HAD5Y","NEFSC-HAD5Y-2004-2013-KURIYAMA","haddock nafo-5y","Fmsy",0.46
"257","BLACKROCKNPCOAST","NWFSC-BLACKROCKNPCOAST-1914-2006-BRANCH","black rockfish northern pacific coast","SBmsy-MT",4947
