"","unq","f.ratio","f.msy","fmsy.id","f","f.ts","stocklong.x","stocklong.y","stockid","assessid","year","b.ts","b","bmsy.id","b.msy","b.ratio","region"
"87","blackgill rockfish  pacific coast 2009",0.51104,0.04,"Fmsy-1/yr",0.0204416,"F-1/T","blackgill rockfish  pacific coast","blackgill rockfish  pacific coast","BGROCKPCOAST","NWFSC-BGROCKPCOAST-1950-2011-STACHURA",2009,"SSB-E6larvae",0.341261,"SSBmsy-E6larvae",0.2498,1.36613690952762,"west"
"88","blackgill rockfish  pacific coast 2010",0.5678625,0.04,"Fmsy-1/yr",0.0227145,"F-1/T","blackgill rockfish  pacific coast","blackgill rockfish  pacific coast","BGROCKPCOAST","NWFSC-BGROCKPCOAST-1950-2011-STACHURA",2010,"SSB-E6larvae",0.350879,"SSBmsy-E6larvae",0.2498,1.40463971176942,"west"
"89","blackgill rockfish  pacific coast 2011",0,0.04,"Fmsy-1/yr",0,"F-1/T","blackgill rockfish  pacific coast","blackgill rockfish  pacific coast","BGROCKPCOAST","NWFSC-BGROCKPCOAST-1950-2011-STACHURA",2011,"SSB-E6larvae",0.359236,"SSBmsy-E6larvae",0.2498,1.43809447558046,"west"
"90","blue rockfish california 2000",0.843672456575682,0.0403,"Fmsy-1/yr",0.034,"F-1/yr","blue rockfish california","blue rockfish california","BLUEROCKCAL","NWFSC-BLUEROCKCAL-1916-2007-BRANCH",2000,"SSB-E6larvae",359,"SSBmsy-E6larvae",831,0.432009626955475,"west"
"91","blue rockfish california 2001",0.669975186104218,0.0403,"Fmsy-1/yr",0.027,"F-1/yr","blue rockfish california","blue rockfish california","BLUEROCKCAL","NWFSC-BLUEROCKCAL-1916-2007-BRANCH",2001,"SSB-E6larvae",401,"SSBmsy-E6larvae",831,0.482551143200963,"west"
"92","blue rockfish california 2002",0.794044665012407,0.0403,"Fmsy-1/yr",0.032,"F-1/yr","blue rockfish california","blue rockfish california","BLUEROCKCAL","NWFSC-BLUEROCKCAL-1916-2007-BRANCH",2002,"SSB-E6larvae",447,"SSBmsy-E6larvae",831,0.537906137184116,"west"
"93","blue rockfish california 2003",1.04218362282878,0.0403,"Fmsy-1/yr",0.042,"F-1/yr","blue rockfish california","blue rockfish california","BLUEROCKCAL","NWFSC-BLUEROCKCAL-1916-2007-BRANCH",2003,"SSB-E6larvae",495,"SSBmsy-E6larvae",831,0.595667870036101,"west"
"94","blue rockfish california 2004",0.744416873449131,0.0403,"Fmsy-1/yr",0.03,"F-1/yr","blue rockfish california","blue rockfish california","BLUEROCKCAL","NWFSC-BLUEROCKCAL-1916-2007-BRANCH",2004,"SSB-E6larvae",537,"SSBmsy-E6larvae",831,0.646209386281588,"west"
"95","blue rockfish california 2005",0.818858560794045,0.0403,"Fmsy-1/yr",0.033,"F-1/yr","blue rockfish california","blue rockfish california","BLUEROCKCAL","NWFSC-BLUEROCKCAL-1916-2007-BRANCH",2005,"SSB-E6larvae",583,"SSBmsy-E6larvae",831,0.701564380264741,"west"
"96","blue rockfish california 2006",1.48883374689826,0.0403,"Fmsy-1/yr",0.06,"F-1/yr","blue rockfish california","blue rockfish california","BLUEROCKCAL","NWFSC-BLUEROCKCAL-1916-2007-BRANCH",2006,"SSB-E6larvae",618,"SSBmsy-E6larvae",831,0.743682310469314,"west"
"97","blue rockfish california 2007",1.19106699751861,0.0403,"Fmsy-1/yr",0.048,"F-1/yr","blue rockfish california","blue rockfish california","BLUEROCKCAL","NWFSC-BLUEROCKCAL-1916-2007-BRANCH",2007,"SSB-E6larvae",622,"SSBmsy-E6larvae",831,0.74849578820698,"west"
"98","bocaccio southern pacific coast 2000",0.321428571428571,0.084,"FMSY-1/yr",0.027,"F","bocaccio southern pacific coast","bocaccio southern pacific coast","BOCACCSPCOAST","PFMC-BOCACCSPCOAST-1930-2012-KURIYAMA",2000,"SSB",5907,"SSBmsy",45476,0.129892690650013,"west"
"99","bocaccio southern pacific coast 2001",0.25,0.084,"FMSY-1/yr",0.021,"F","bocaccio southern pacific coast","bocaccio southern pacific coast","BOCACCSPCOAST","PFMC-BOCACCSPCOAST-1930-2012-KURIYAMA",2001,"SSB",6663,"SSBmsy",45476,0.146516844049609,"west"
"100","bocaccio southern pacific coast 2002",0.142857142857143,0.084,"FMSY-1/yr",0.012,"F","bocaccio southern pacific coast","bocaccio southern pacific coast","BOCACCSPCOAST","PFMC-BOCACCSPCOAST-1930-2012-KURIYAMA",2002,"SSB",7380,"SSBmsy",45476,0.162283402234145,"west"
"101","bocaccio southern pacific coast 2003",0.0238095238095238,0.084,"FMSY-1/yr",0.002,"F","bocaccio southern pacific coast","bocaccio southern pacific coast","BOCACCSPCOAST","PFMC-BOCACCSPCOAST-1930-2012-KURIYAMA",2003,"SSB",7970,"SSBmsy",45476,0.175257278564518,"west"
"102","bocaccio southern pacific coast 2004",0.119047619047619,0.084,"FMSY-1/yr",0.01,"F","bocaccio southern pacific coast","bocaccio southern pacific coast","BOCACCSPCOAST","PFMC-BOCACCSPCOAST-1930-2012-KURIYAMA",2004,"SSB",8640,"SSBmsy",45476,0.189990324566804,"west"
"103","bocaccio southern pacific coast 2005",0.142857142857143,0.084,"FMSY-1/yr",0.012,"F","bocaccio southern pacific coast","bocaccio southern pacific coast","BOCACCSPCOAST","PFMC-BOCACCSPCOAST-1930-2012-KURIYAMA",2005,"SSB",9174,"SSBmsy",45476,0.201732782126836,"west"
"104","bocaccio southern pacific coast 2006",0.0714285714285714,0.084,"FMSY-1/yr",0.006,"F","bocaccio southern pacific coast","bocaccio southern pacific coast","BOCACCSPCOAST","PFMC-BOCACCSPCOAST-1930-2012-KURIYAMA",2006,"SSB",9705,"SSBmsy",45476,0.213409270824171,"west"
"105","bocaccio southern pacific coast 2007",0.0714285714285714,0.084,"FMSY-1/yr",0.006,"F","bocaccio southern pacific coast","bocaccio southern pacific coast","BOCACCSPCOAST","PFMC-BOCACCSPCOAST-1930-2012-KURIYAMA",2007,"SSB",10277,"SSBmsy",45476,0.225987333978362,"west"
"106","bocaccio southern pacific coast 2008",0.0714285714285714,0.084,"FMSY-1/yr",0.006,"F","bocaccio southern pacific coast","bocaccio southern pacific coast","BOCACCSPCOAST","PFMC-BOCACCSPCOAST-1930-2012-KURIYAMA",2008,"SSB",10780,"SSBmsy",45476,0.237048113290527,"west"
"107","bocaccio southern pacific coast 2009",0.0595238095238095,0.084,"FMSY-1/yr",0.005,"F","bocaccio southern pacific coast","bocaccio southern pacific coast","BOCACCSPCOAST","PFMC-BOCACCSPCOAST-1930-2012-KURIYAMA",2009,"SSB",11267,"SSBmsy",45476,0.247757058668309,"west"
"108","bocaccio southern pacific coast 2010",0.0714285714285714,0.084,"FMSY-1/yr",0.006,"F","bocaccio southern pacific coast","bocaccio southern pacific coast","BOCACCSPCOAST","PFMC-BOCACCSPCOAST-1930-2012-KURIYAMA",2010,"SSB",12001,"SSBmsy",45476,0.263897440408127,"west"
"109","bocaccio southern pacific coast 2011",0.0952380952380952,0.084,"FMSY-1/yr",0.008,"F","bocaccio southern pacific coast","bocaccio southern pacific coast","BOCACCSPCOAST","PFMC-BOCACCSPCOAST-1930-2012-KURIYAMA",2011,"SSB",13891,"SSBmsy",45476,0.305457823907116,"west"
"110","bocaccio southern pacific coast 2012",0.130952380952381,0.084,"FMSY-1/yr",0.011,"F","bocaccio southern pacific coast","bocaccio southern pacific coast","BOCACCSPCOAST","PFMC-BOCACCSPCOAST-1930-2012-KURIYAMA",2012,"SSB",16537,"SSBmsy",45476,0.3636423608057,"west"
"111","canary rockfish pacific coast 2000",0.680921052631579,0.0304,"Fmsy-1/yr",0.0207,"F-1/T","canary rockfish pacific coast","canary rockfish pacific coast","CROCKPCOAST","NWFSC-CROCKPCOAST-1916-2011-STACHURA",2000,"SSB-MT",3124,"SSBmsy-MT",10464,0.298547400611621,"west"
"112","canary rockfish pacific coast 2001",0.424342105263158,0.0304,"Fmsy-1/yr",0.0129,"F-1/T","canary rockfish pacific coast","canary rockfish pacific coast","CROCKPCOAST","NWFSC-CROCKPCOAST-1916-2011-STACHURA",2001,"SSB-MT",3483,"SSBmsy-MT",10464,0.332855504587156,"west"
"113","canary rockfish pacific coast 2002",0.361842105263158,0.0304,"Fmsy-1/yr",0.011,"F-1/T","canary rockfish pacific coast","canary rockfish pacific coast","CROCKPCOAST","NWFSC-CROCKPCOAST-1916-2011-STACHURA",2002,"SSB-MT",3849,"SSBmsy-MT",10464,0.367832568807339,"west"
"114","canary rockfish pacific coast 2003",0.358552631578947,0.0304,"Fmsy-1/yr",0.0109,"F-1/T","canary rockfish pacific coast","canary rockfish pacific coast","CROCKPCOAST","NWFSC-CROCKPCOAST-1916-2011-STACHURA",2003,"SSB-MT",4196,"SSBmsy-MT",10464,0.400993883792049,"west"
"115","canary rockfish pacific coast 2004",0.226973684210526,0.0304,"Fmsy-1/yr",0.0069,"F-1/T","canary rockfish pacific coast","canary rockfish pacific coast","CROCKPCOAST","NWFSC-CROCKPCOAST-1916-2011-STACHURA",2004,"SSB-MT",4520,"SSBmsy-MT",10464,0.431957186544343,"west"
"116","canary rockfish pacific coast 2005",0.148026315789474,0.0304,"Fmsy-1/yr",0.0045,"F-1/T","canary rockfish pacific coast","canary rockfish pacific coast","CROCKPCOAST","NWFSC-CROCKPCOAST-1916-2011-STACHURA",2005,"SSB-MT",4834,"SSBmsy-MT",10464,0.461964831804281,"west"
"117","canary rockfish pacific coast 2006",0.144736842105263,0.0304,"Fmsy-1/yr",0.0044,"F-1/T","canary rockfish pacific coast","canary rockfish pacific coast","CROCKPCOAST","NWFSC-CROCKPCOAST-1916-2011-STACHURA",2006,"SSB-MT",5138,"SSBmsy-MT",10464,0.491016819571865,"west"
"118","canary rockfish pacific coast 2007",0.105263157894737,0.0304,"Fmsy-1/yr",0.0032,"F-1/T","canary rockfish pacific coast","canary rockfish pacific coast","CROCKPCOAST","NWFSC-CROCKPCOAST-1916-2011-STACHURA",2007,"SSB-MT",5431,"SSBmsy-MT",10464,0.519017584097859,"west"
"119","canary rockfish pacific coast 2008",0.0921052631578947,0.0304,"Fmsy-1/yr",0.0028,"F-1/T","canary rockfish pacific coast","canary rockfish pacific coast","CROCKPCOAST","NWFSC-CROCKPCOAST-1916-2011-STACHURA",2008,"SSB-MT",5720,"SSBmsy-MT",10464,0.546636085626911,"west"
"120","canary rockfish pacific coast 2009",0.0822368421052632,0.0304,"Fmsy-1/yr",0.0025,"F-1/T","canary rockfish pacific coast","canary rockfish pacific coast","CROCKPCOAST","NWFSC-CROCKPCOAST-1916-2011-STACHURA",2009,"SSB-MT",5997,"SSBmsy-MT",10464,0.573107798165138,"west"
"121","canary rockfish pacific coast 2010",0.171052631578947,0.0304,"Fmsy-1/yr",0.0052,"F-1/T","canary rockfish pacific coast","canary rockfish pacific coast","CROCKPCOAST","NWFSC-CROCKPCOAST-1916-2011-STACHURA",2010,"SSB-MT",6254,"SSBmsy-MT",10464,0.597668195718654,"west"
"122","canary rockfish pacific coast 2011",NA,NA,NA,NA,NA,NA,"canary rockfish pacific coast","CROCKPCOAST","NWFSC-CROCKPCOAST-1916-2011-STACHURA",2011,"SSB-MT",6458,"SSBmsy-MT",10464,0.617163608562691,"west"
"123","chilipepper southern pacific coast 2000",0.330357142857143,0.112,"Fmsy-1/yr",0.037,"F-1/yr","chilipepper southern pacific coast","chilipepper southern pacific coast","CHILISPCOAST","NWFSC-CHILISPCOAST-1892-2007-BRANCH",2000,"SSB-MT",9029,"SSBmsy-MT",12126,0.744598383638463,"west"
"124","chilipepper southern pacific coast 2001",0.25,0.112,"Fmsy-1/yr",0.028,"F-1/yr","chilipepper southern pacific coast","chilipepper southern pacific coast","CHILISPCOAST","NWFSC-CHILISPCOAST-1892-2007-BRANCH",2001,"SSB-MT",9536,"SSBmsy-MT",12126,0.786409368299522,"west"
"125","chilipepper southern pacific coast 2002",0.125,0.112,"Fmsy-1/yr",0.014,"F-1/yr","chilipepper southern pacific coast","chilipepper southern pacific coast","CHILISPCOAST","NWFSC-CHILISPCOAST-1892-2007-BRANCH",2002,"SSB-MT",12671,"SSBmsy-MT",12126,1.044944746825,"west"
"126","chilipepper southern pacific coast 2003",0.00892857142857143,0.112,"Fmsy-1/yr",0.001,"F-1/yr","chilipepper southern pacific coast","chilipepper southern pacific coast","CHILISPCOAST","NWFSC-CHILISPCOAST-1892-2007-BRANCH",2003,"SSB-MT",17040,"SSBmsy-MT",12126,1.40524492825334,"west"
"127","chilipepper southern pacific coast 2004",0.0714285714285714,0.112,"Fmsy-1/yr",0.008,"F-1/yr","chilipepper southern pacific coast","chilipepper southern pacific coast","CHILISPCOAST","NWFSC-CHILISPCOAST-1892-2007-BRANCH",2004,"SSB-MT",20229,"SSBmsy-MT",12126,1.66823354774864,"west"
"128","chilipepper southern pacific coast 2005",0.0535714285714286,0.112,"Fmsy-1/yr",0.006,"F-1/yr","chilipepper southern pacific coast","chilipepper southern pacific coast","CHILISPCOAST","NWFSC-CHILISPCOAST-1892-2007-BRANCH",2005,"SSB-MT",22146,"SSBmsy-MT",12126,1.82632360217714,"west"
"129","chilipepper southern pacific coast 2006",0.0357142857142857,0.112,"Fmsy-1/yr",0.004,"F-1/yr","chilipepper southern pacific coast","chilipepper southern pacific coast","CHILISPCOAST","NWFSC-CHILISPCOAST-1892-2007-BRANCH",2006,"SSB-MT",23224,"SSBmsy-MT",12126,1.91522348672274,"west"
"130","chilipepper southern pacific coast 2007",NA,NA,NA,NA,NA,NA,"chilipepper southern pacific coast","CHILISPCOAST","NWFSC-CHILISPCOAST-1892-2007-BRANCH",2007,"SSB-MT",23827,"SSBmsy-MT",12126,1.96495134421903,"west"
"131","cowcod southern california 2000",0.145454545454545,0.055,"Fmsy-1/MT",0.008,"F","cowcod southern california","cowcod southern california","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA",2000,"SSB-MT",306.5,"SSB0-MT",1549,0.197869593285991,"west"
"132","cowcod southern california 2000",0.145454545454545,0.055,"Fmsy-1/MT",0.008,"F","cowcod southern california","cowcod southern california","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA",2000,"SSB-MT",306.5,"SSBmsy-MT",629,0.487281399046105,"west"
"133","cowcod southern california 2001",0.0181818181818182,0.055,"Fmsy-1/MT",0.001,"F","cowcod southern california","cowcod southern california","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA",2001,"SSB-MT",318,"SSBmsy-MT",629,0.505564387917329,"west"
"134","cowcod southern california 2001",0.0181818181818182,0.055,"Fmsy-1/MT",0.001,"F","cowcod southern california","cowcod southern california","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA",2001,"SSB-MT",318,"SSB0-MT",1549,0.205293737895416,"west"
"135","cowcod southern california 2002",0.0181818181818182,0.055,"Fmsy-1/MT",0.001,"F","cowcod southern california","cowcod southern california","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA",2002,"SSB-MT",335.1,"SSBmsy-MT",629,0.53275039745628,"west"
"136","cowcod southern california 2002",0.0181818181818182,0.055,"Fmsy-1/MT",0.001,"F","cowcod southern california","cowcod southern california","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA",2002,"SSB-MT",335.1,"SSB0-MT",1549,0.216333118140736,"west"
"137","cowcod southern california 2003",0.0181818181818182,0.055,"Fmsy-1/MT",0.001,"F","cowcod southern california","cowcod southern california","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA",2003,"SSB-MT",355.3,"SSB0-MT",1549,0.22937378954164,"west"
"138","cowcod southern california 2003",0.0181818181818182,0.055,"Fmsy-1/MT",0.001,"F","cowcod southern california","cowcod southern california","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA",2003,"SSB-MT",355.3,"SSBmsy-MT",629,0.564864864864865,"west"
"139","cowcod southern california 2004",0.0181818181818182,0.055,"Fmsy-1/MT",0.001,"F","cowcod southern california","cowcod southern california","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA",2004,"SSB-MT",374.7,"SSBmsy-MT",629,0.59570747217806,"west"
"140","cowcod southern california 2004",0.0181818181818182,0.055,"Fmsy-1/MT",0.001,"F","cowcod southern california","cowcod southern california","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA",2004,"SSB-MT",374.7,"SSB0-MT",1549,0.241897998708844,"west"
"141","cowcod southern california 2005",0,0.055,"Fmsy-1/MT",0,"F","cowcod southern california","cowcod southern california","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA",2005,"SSB-MT",395.6,"SSB0-MT",1549,0.255390574564235,"west"
"142","cowcod southern california 2005",0,0.055,"Fmsy-1/MT",0,"F","cowcod southern california","cowcod southern california","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA",2005,"SSB-MT",395.6,"SSBmsy-MT",629,0.628934817170111,"west"
"143","cowcod southern california 2006",0,0.055,"Fmsy-1/MT",0,"F","cowcod southern california","cowcod southern california","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA",2006,"SSB-MT",414.5,"SSB0-MT",1549,0.267591994835378,"west"
"144","cowcod southern california 2006",0,0.055,"Fmsy-1/MT",0,"F","cowcod southern california","cowcod southern california","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA",2006,"SSB-MT",414.5,"SSBmsy-MT",629,0.658982511923688,"west"
"145","cowcod southern california 2007",0,0.055,"Fmsy-1/MT",0,"F","cowcod southern california","cowcod southern california","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA",2007,"SSB-MT",433.2,"SSBmsy-MT",629,0.688712241653418,"west"
"146","cowcod southern california 2007",0,0.055,"Fmsy-1/MT",0,"F","cowcod southern california","cowcod southern california","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA",2007,"SSB-MT",433.2,"SSB0-MT",1549,0.279664299548096,"west"
"147","cowcod southern california 2008",0,0.055,"Fmsy-1/MT",0,"F","cowcod southern california","cowcod southern california","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA",2008,"SSB-MT",447.6,"SSB0-MT",1549,0.28896061975468,"west"
"148","cowcod southern california 2008",0,0.055,"Fmsy-1/MT",0,"F","cowcod southern california","cowcod southern california","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA",2008,"SSB-MT",447.6,"SSBmsy-MT",629,0.711605723370429,"west"
"149","cowcod southern california 2009",0,0.055,"Fmsy-1/MT",0,"F","cowcod southern california","cowcod southern california","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA",2009,"SSB-MT",463.2,"SSBmsy-MT",629,0.736406995230525,"west"
"150","cowcod southern california 2009",0,0.055,"Fmsy-1/MT",0,"F","cowcod southern california","cowcod southern california","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA",2009,"SSB-MT",463.2,"SSB0-MT",1549,0.299031633311814,"west"
"151","cowcod southern california 2010",0,0.055,"Fmsy-1/MT",0,"F","cowcod southern california","cowcod southern california","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA",2010,"SSB-MT",479.1,"SSB0-MT",1549,0.309296320206585,"west"
"152","cowcod southern california 2010",0,0.055,"Fmsy-1/MT",0,"F","cowcod southern california","cowcod southern california","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA",2010,"SSB-MT",479.1,"SSBmsy-MT",629,0.761685214626391,"west"
"153","cowcod southern california 2011",0.0181818181818182,0.055,"Fmsy-1/MT",0.001,"F","cowcod southern california","cowcod southern california","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA",2011,"SSB-MT",494.9,"SSB0-MT",1549,0.319496449322143,"west"
"154","cowcod southern california 2011",0.0181818181818182,0.055,"Fmsy-1/MT",0.001,"F","cowcod southern california","cowcod southern california","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA",2011,"SSB-MT",494.9,"SSBmsy-MT",629,0.786804451510334,"west"
"155","cowcod southern california 2012",0.0181818181818182,0.055,"Fmsy-1/MT",0.001,"F","cowcod southern california","cowcod southern california","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA",2012,"SSB-MT",509,"SSB0-MT",1549,0.328599096191091,"west"
"156","cowcod southern california 2012",0.0181818181818182,0.055,"Fmsy-1/MT",0.001,"F","cowcod southern california","cowcod southern california","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA",2012,"SSB-MT",509,"SSBmsy-MT",629,0.809220985691574,"west"
"157","cowcod southern california 2013",0.0181818181818182,0.055,"Fmsy-1/MT",0.001,"F","cowcod southern california","cowcod southern california","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA",2013,"SSB-MT",524.5,"SSBmsy-MT",629,0.833863275039746,"west"
"158","cowcod southern california 2013",0.0181818181818182,0.055,"Fmsy-1/MT",0.001,"F","cowcod southern california","cowcod southern california","COWCODSCAL","PFMC-COWCODSCAL-1930-2012-KURIYAMA",2013,"SSB-MT",524.5,"SSB0-MT",1549,0.338605551969012,"west"
"159","darkblotched rockfish pacific coast 2000",0.951278195488722,0.0665,"Fmsy-1/yr",0.06326,"F","darkblotched rockfish pacific coast","darkblotched rockfish pacific coast","DKROCKPCOAST","NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA",2000,"B-MT",6625,"B0-MT",36171,0.183157778330707,"west"
"160","darkblotched rockfish pacific coast 2001",0.594285714285714,0.0665,"Fmsy-1/yr",0.03952,"F","darkblotched rockfish pacific coast","darkblotched rockfish pacific coast","DKROCKPCOAST","NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA",2001,"B-MT",6987,"B0-MT",36171,0.193165795803268,"west"
"161","darkblotched rockfish pacific coast 2002",0.463157894736842,0.0665,"Fmsy-1/yr",0.0308,"F","darkblotched rockfish pacific coast","darkblotched rockfish pacific coast","DKROCKPCOAST","NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA",2002,"B-MT",7666,"B0-MT",36171,0.211937740178596,"west"
"162","darkblotched rockfish pacific coast 2003",0.376390977443609,0.0665,"Fmsy-1/yr",0.02503,"F","darkblotched rockfish pacific coast","darkblotched rockfish pacific coast","DKROCKPCOAST","NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA",2003,"B-MT",8477,"B0-MT",36171,0.234359016891985,"west"
"163","darkblotched rockfish pacific coast 2004",0.393684210526316,0.0665,"Fmsy-1/yr",0.02618,"F","darkblotched rockfish pacific coast","darkblotched rockfish pacific coast","DKROCKPCOAST","NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA",2004,"B-MT",9301,"B0-MT",36171,0.257139697547759,"west"
"164","darkblotched rockfish pacific coast 2005",0.193233082706767,0.0665,"Fmsy-1/yr",0.01285,"F","darkblotched rockfish pacific coast","darkblotched rockfish pacific coast","DKROCKPCOAST","NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA",2005,"B-MT",10061,"B0-MT",36171,0.278151004948716,"west"
"165","darkblotched rockfish pacific coast 2006",0.261353383458647,0.0665,"Fmsy-1/yr",0.01738,"F","darkblotched rockfish pacific coast","darkblotched rockfish pacific coast","DKROCKPCOAST","NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA",2006,"B-MT",10924,"B0-MT",36171,0.302009897431644,"west"
"166","darkblotched rockfish pacific coast 2007",0.357894736842105,0.0665,"Fmsy-1/yr",0.0238,"F","darkblotched rockfish pacific coast","darkblotched rockfish pacific coast","DKROCKPCOAST","NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA",2007,"B-MT",11739,"B0-MT",36171,0.324541759973459,"west"
"167","darkblotched rockfish pacific coast 2008",0.304812030075188,0.0665,"Fmsy-1/yr",0.02027,"F","darkblotched rockfish pacific coast","darkblotched rockfish pacific coast","DKROCKPCOAST","NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA",2008,"B-MT",12453,"B0-MT",36171,0.344281330347516,"west"
"168","darkblotched rockfish pacific coast 2009",0.333984962406015,0.0665,"Fmsy-1/yr",0.02221,"F","darkblotched rockfish pacific coast","darkblotched rockfish pacific coast","DKROCKPCOAST","NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA",2009,"B-MT",13211,"B0-MT",36171,0.36523734483426,"west"
"169","darkblotched rockfish pacific coast 2010",0.376240601503759,0.0665,"Fmsy-1/yr",0.02502,"F","darkblotched rockfish pacific coast","darkblotched rockfish pacific coast","DKROCKPCOAST","NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA",2010,"B-MT",13977,"B0-MT",36171,0.386414530977855,"west"
"170","darkblotched rockfish pacific coast 2011",0.122406015037594,0.0665,"Fmsy-1/yr",0.00814,"F","darkblotched rockfish pacific coast","darkblotched rockfish pacific coast","DKROCKPCOAST","NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA",2011,"B-MT",14732,"B0-MT",36171,0.407287606093279,"west"
"171","darkblotched rockfish pacific coast 2012",0.0924812030075188,0.0665,"Fmsy-1/yr",0.00615,"F","darkblotched rockfish pacific coast","darkblotched rockfish pacific coast","DKROCKPCOAST","NWFSC-DKROCKPCOAST-1928-2013-KURIYAMA",2012,"B-MT",15691,"B0-MT",36171,0.433800558458434,"west"
"172","dover sole pacific coast 2000",0.129770992366412,0.131,"Fmsy-1/yr",0.017,"F-1/T","dover sole pacific coast","dover sole pacific coast","DSOLEPCOAST","SWFSC-DSOLEPCOAST-1910-2011-STACHURA",2000,"SSB-MT",340701,"SSBmsy-MT",114398,2.97820766097309,"west"
"173","dover sole pacific coast 2001",0.099236641221374,0.131,"Fmsy-1/yr",0.013,"F-1/T","dover sole pacific coast","dover sole pacific coast","DSOLEPCOAST","SWFSC-DSOLEPCOAST-1910-2011-STACHURA",2001,"SSB-MT",352007,"SSBmsy-MT",114398,3.07703806010595,"west"
"174","dover sole pacific coast 2002",0.0916030534351145,0.131,"Fmsy-1/yr",0.012,"F-1/T","dover sole pacific coast","dover sole pacific coast","DSOLEPCOAST","SWFSC-DSOLEPCOAST-1910-2011-STACHURA",2002,"SSB-MT",361507,"SSBmsy-MT",114398,3.16008146995577,"west"
"175","dover sole pacific coast 2003",0.099236641221374,0.131,"Fmsy-1/yr",0.013,"F-1/T","dover sole pacific coast","dover sole pacific coast","DSOLEPCOAST","SWFSC-DSOLEPCOAST-1910-2011-STACHURA",2003,"SSB-MT",368402,"SSBmsy-MT",114398,3.22035350268361,"west"
"176","dover sole pacific coast 2004",0.0839694656488549,0.131,"Fmsy-1/yr",0.011,"F-1/T","dover sole pacific coast","dover sole pacific coast","DSOLEPCOAST","SWFSC-DSOLEPCOAST-1910-2011-STACHURA",2004,"SSB-MT",373512,"SSBmsy-MT",114398,3.26502211577125,"west"
"177","dover sole pacific coast 2005",0.0839694656488549,0.131,"Fmsy-1/yr",0.011,"F-1/T","dover sole pacific coast","dover sole pacific coast","DSOLEPCOAST","SWFSC-DSOLEPCOAST-1910-2011-STACHURA",2005,"SSB-MT",379112,"SSBmsy-MT",114398,3.31397402052483,"west"
"178","dover sole pacific coast 2006",0.0687022900763359,0.131,"Fmsy-1/yr",0.009,"F-1/T","dover sole pacific coast","dover sole pacific coast","DSOLEPCOAST","SWFSC-DSOLEPCOAST-1910-2011-STACHURA",2006,"SSB-MT",384556,"SSBmsy-MT",114398,3.36156226507456,"west"
"179","dover sole pacific coast 2007",0.106870229007634,0.131,"Fmsy-1/yr",0.014,"F-1/T","dover sole pacific coast","dover sole pacific coast","DSOLEPCOAST","SWFSC-DSOLEPCOAST-1910-2011-STACHURA",2007,"SSB-MT",390893,"SSBmsy-MT",114398,3.41695659015018,"west"
