"","metric.and.spp","stockid.x","assessid.x","stocklong.x","tsid","tsyear","tsvalue","stockid.y","assessid.y","stocklong.y","bioid","biovalue","ratio"
"1107","SSB-MT american lobster georges bank","LOBSTERGB","ASMFC-LOBSTERGB-1981-2007-STANTON","american lobster georges bank","SSB-MT",2002,546,NA,NA,NA,NA,NA,NA
"1108","SSB-MT american lobster georges bank","LOBSTERGB","ASMFC-LOBSTERGB-1981-2007-STANTON","american lobster georges bank","SSB-MT",2003,858,NA,NA,NA,NA,NA,NA
"1109","SSB-MT american lobster georges bank","LOBSTERGB","ASMFC-LOBSTERGB-1981-2007-STANTON","american lobster georges bank","SSB-MT",2004,1210,NA,NA,NA,NA,NA,NA
"1110","SSB-MT american lobster georges bank","LOBSTERGB","ASMFC-LOBSTERGB-1981-2007-STANTON","american lobster georges bank","SSB-MT",2005,1322,NA,NA,NA,NA,NA,NA
"1111","SSB-MT american lobster georges bank","LOBSTERGB","ASMFC-LOBSTERGB-1981-2007-STANTON","american lobster georges bank","SSB-MT",2006,1233,NA,NA,NA,NA,NA,NA
"1112","SSB-MT american lobster georges bank","LOBSTERGB","ASMFC-LOBSTERGB-1981-2007-STANTON","american lobster georges bank","SSB-MT",2007,1155,NA,NA,NA,NA,NA,NA
"1113","SSB-MT american lobster gulf of maine","LOBSTERGOM","ASMFC-LOBSTERGOM-1981-2007-STANTON","american lobster gulf of maine","SSB-MT",1981,NA,NA,NA,NA,NA,NA,NA
"1114","SSB-MT american lobster gulf of maine","LOBSTERGOM","ASMFC-LOBSTERGOM-1981-2007-STANTON","american lobster gulf of maine","SSB-MT",1982,5938,NA,NA,NA,NA,NA,NA
"1115","SSB-MT american lobster gulf of maine","LOBSTERGOM","ASMFC-LOBSTERGOM-1981-2007-STANTON","american lobster gulf of maine","SSB-MT",1983,4117,NA,NA,NA,NA,NA,NA
"1116","SSB-MT american lobster gulf of maine","LOBSTERGOM","ASMFC-LOBSTERGOM-1981-2007-STANTON","american lobster gulf of maine","SSB-MT",1984,3671,NA,NA,NA,NA,NA,NA
"1117","SSB-MT american lobster gulf of maine","LOBSTERGOM","ASMFC-LOBSTERGOM-1981-2007-STANTON","american lobster gulf of maine","SSB-MT",1985,4424,NA,NA,NA,NA,NA,NA
"1118","SSB-MT american lobster gulf of maine","LOBSTERGOM","ASMFC-LOBSTERGOM-1981-2007-STANTON","american lobster gulf of maine","SSB-MT",1986,3700,NA,NA,NA,NA,NA,NA
"1119","SSB-MT american lobster gulf of maine","LOBSTERGOM","ASMFC-LOBSTERGOM-1981-2007-STANTON","american lobster gulf of maine","SSB-MT",1987,3417,NA,NA,NA,NA,NA,NA
"1120","SSB-MT american lobster gulf of maine","LOBSTERGOM","ASMFC-LOBSTERGOM-1981-2007-STANTON","american lobster gulf of maine","SSB-MT",1988,3885,NA,NA,NA,NA,NA,NA
"1121","SSB-MT american lobster gulf of maine","LOBSTERGOM","ASMFC-LOBSTERGOM-1981-2007-STANTON","american lobster gulf of maine","SSB-MT",1989,4750,NA,NA,NA,NA,NA,NA
"1122","SSB-MT american lobster gulf of maine","LOBSTERGOM","ASMFC-LOBSTERGOM-1981-2007-STANTON","american lobster gulf of maine","SSB-MT",1990,4807,NA,NA,NA,NA,NA,NA
"1123","SSB-MT american lobster gulf of maine","LOBSTERGOM","ASMFC-LOBSTERGOM-1981-2007-STANTON","american lobster gulf of maine","SSB-MT",1991,4764,NA,NA,NA,NA,NA,NA
"1124","SSB-MT american lobster gulf of maine","LOBSTERGOM","ASMFC-LOBSTERGOM-1981-2007-STANTON","american lobster gulf of maine","SSB-MT",1992,5357,NA,NA,NA,NA,NA,NA
"1125","SSB-MT american lobster gulf of maine","LOBSTERGOM","ASMFC-LOBSTERGOM-1981-2007-STANTON","american lobster gulf of maine","SSB-MT",1993,5002,NA,NA,NA,NA,NA,NA
"1126","SSB-MT american lobster gulf of maine","LOBSTERGOM","ASMFC-LOBSTERGOM-1981-2007-STANTON","american lobster gulf of maine","SSB-MT",1994,5746,NA,NA,NA,NA,NA,NA
"1127","SSB-MT american lobster gulf of maine","LOBSTERGOM","ASMFC-LOBSTERGOM-1981-2007-STANTON","american lobster gulf of maine","SSB-MT",1995,5901,NA,NA,NA,NA,NA,NA
"1128","SSB-MT american lobster gulf of maine","LOBSTERGOM","ASMFC-LOBSTERGOM-1981-2007-STANTON","american lobster gulf of maine","SSB-MT",1996,5659,NA,NA,NA,NA,NA,NA
"1129","SSB-MT american lobster gulf of maine","LOBSTERGOM","ASMFC-LOBSTERGOM-1981-2007-STANTON","american lobster gulf of maine","SSB-MT",1997,6191,NA,NA,NA,NA,NA,NA
"1130","SSB-MT american lobster gulf of maine","LOBSTERGOM","ASMFC-LOBSTERGOM-1981-2007-STANTON","american lobster gulf of maine","SSB-MT",1998,6872,NA,NA,NA,NA,NA,NA
"1131","SSB-MT american lobster gulf of maine","LOBSTERGOM","ASMFC-LOBSTERGOM-1981-2007-STANTON","american lobster gulf of maine","SSB-MT",1999,6970,NA,NA,NA,NA,NA,NA
"1132","SSB-MT american lobster gulf of maine","LOBSTERGOM","ASMFC-LOBSTERGOM-1981-2007-STANTON","american lobster gulf of maine","SSB-MT",2000,7205,NA,NA,NA,NA,NA,NA
"1133","SSB-MT american lobster gulf of maine","LOBSTERGOM","ASMFC-LOBSTERGOM-1981-2007-STANTON","american lobster gulf of maine","SSB-MT",2001,6913,NA,NA,NA,NA,NA,NA
"1134","SSB-MT american lobster gulf of maine","LOBSTERGOM","ASMFC-LOBSTERGOM-1981-2007-STANTON","american lobster gulf of maine","SSB-MT",2002,7691,NA,NA,NA,NA,NA,NA
"1135","SSB-MT american lobster gulf of maine","LOBSTERGOM","ASMFC-LOBSTERGOM-1981-2007-STANTON","american lobster gulf of maine","SSB-MT",2003,8493,NA,NA,NA,NA,NA,NA
"1136","SSB-MT american lobster gulf of maine","LOBSTERGOM","ASMFC-LOBSTERGOM-1981-2007-STANTON","american lobster gulf of maine","SSB-MT",2004,9333,NA,NA,NA,NA,NA,NA
"1137","SSB-MT american lobster gulf of maine","LOBSTERGOM","ASMFC-LOBSTERGOM-1981-2007-STANTON","american lobster gulf of maine","SSB-MT",2005,9576,NA,NA,NA,NA,NA,NA
"1138","SSB-MT american lobster gulf of maine","LOBSTERGOM","ASMFC-LOBSTERGOM-1981-2007-STANTON","american lobster gulf of maine","SSB-MT",2006,9440,NA,NA,NA,NA,NA,NA
"1139","SSB-MT american lobster gulf of maine","LOBSTERGOM","ASMFC-LOBSTERGOM-1981-2007-STANTON","american lobster gulf of maine","SSB-MT",2007,8710,NA,NA,NA,NA,NA,NA
"1140","SSB-MT american lobster southern new england","LOBSTERSNE","ASMFC-LOBSTERSNE-1981-2007-STANTON","american lobster southern new england","SSB-MT",1981,NA,NA,NA,NA,NA,NA,NA
"1141","SSB-MT american lobster southern new england","LOBSTERSNE","ASMFC-LOBSTERSNE-1981-2007-STANTON","american lobster southern new england","SSB-MT",1982,2359,NA,NA,NA,NA,NA,NA
"1142","SSB-MT american lobster southern new england","LOBSTERSNE","ASMFC-LOBSTERSNE-1981-2007-STANTON","american lobster southern new england","SSB-MT",1983,2516,NA,NA,NA,NA,NA,NA
"1143","SSB-MT american lobster southern new england","LOBSTERSNE","ASMFC-LOBSTERSNE-1981-2007-STANTON","american lobster southern new england","SSB-MT",1984,3097,NA,NA,NA,NA,NA,NA
"1144","SSB-MT american lobster southern new england","LOBSTERSNE","ASMFC-LOBSTERSNE-1981-2007-STANTON","american lobster southern new england","SSB-MT",1985,4001,NA,NA,NA,NA,NA,NA
"1145","SSB-MT american lobster southern new england","LOBSTERSNE","ASMFC-LOBSTERSNE-1981-2007-STANTON","american lobster southern new england","SSB-MT",1986,4212,NA,NA,NA,NA,NA,NA
"1146","SSB-MT american lobster southern new england","LOBSTERSNE","ASMFC-LOBSTERSNE-1981-2007-STANTON","american lobster southern new england","SSB-MT",1987,4750,NA,NA,NA,NA,NA,NA
"1147","SSB-MT american lobster southern new england","LOBSTERSNE","ASMFC-LOBSTERSNE-1981-2007-STANTON","american lobster southern new england","SSB-MT",1988,5290,NA,NA,NA,NA,NA,NA
"1148","SSB-MT american lobster southern new england","LOBSTERSNE","ASMFC-LOBSTERSNE-1981-2007-STANTON","american lobster southern new england","SSB-MT",1989,5988,NA,NA,NA,NA,NA,NA
"1149","SSB-MT american lobster southern new england","LOBSTERSNE","ASMFC-LOBSTERSNE-1981-2007-STANTON","american lobster southern new england","SSB-MT",1990,6294,NA,NA,NA,NA,NA,NA
"1150","SSB-MT american lobster southern new england","LOBSTERSNE","ASMFC-LOBSTERSNE-1981-2007-STANTON","american lobster southern new england","SSB-MT",1991,5654,NA,NA,NA,NA,NA,NA
"1151","SSB-MT american lobster southern new england","LOBSTERSNE","ASMFC-LOBSTERSNE-1981-2007-STANTON","american lobster southern new england","SSB-MT",1992,5895,NA,NA,NA,NA,NA,NA
"1152","SSB-MT american lobster southern new england","LOBSTERSNE","ASMFC-LOBSTERSNE-1981-2007-STANTON","american lobster southern new england","SSB-MT",1993,6310,NA,NA,NA,NA,NA,NA
"1153","SSB-MT american lobster southern new england","LOBSTERSNE","ASMFC-LOBSTERSNE-1981-2007-STANTON","american lobster southern new england","SSB-MT",1994,7388,NA,NA,NA,NA,NA,NA
"1154","SSB-MT american lobster southern new england","LOBSTERSNE","ASMFC-LOBSTERSNE-1981-2007-STANTON","american lobster southern new england","SSB-MT",1995,8075,NA,NA,NA,NA,NA,NA
"1155","SSB-MT american lobster southern new england","LOBSTERSNE","ASMFC-LOBSTERSNE-1981-2007-STANTON","american lobster southern new england","SSB-MT",1996,8477,NA,NA,NA,NA,NA,NA
"1156","SSB-MT american lobster southern new england","LOBSTERSNE","ASMFC-LOBSTERSNE-1981-2007-STANTON","american lobster southern new england","SSB-MT",1997,8307,NA,NA,NA,NA,NA,NA
"1157","SSB-MT american lobster southern new england","LOBSTERSNE","ASMFC-LOBSTERSNE-1981-2007-STANTON","american lobster southern new england","SSB-MT",1998,8159,NA,NA,NA,NA,NA,NA
"1158","SSB-MT american lobster southern new england","LOBSTERSNE","ASMFC-LOBSTERSNE-1981-2007-STANTON","american lobster southern new england","SSB-MT",1999,7725,NA,NA,NA,NA,NA,NA
"1159","SSB-MT american lobster southern new england","LOBSTERSNE","ASMFC-LOBSTERSNE-1981-2007-STANTON","american lobster southern new england","SSB-MT",2000,6622,NA,NA,NA,NA,NA,NA
"1160","SSB-MT american lobster southern new england","LOBSTERSNE","ASMFC-LOBSTERSNE-1981-2007-STANTON","american lobster southern new england","SSB-MT",2001,5271,NA,NA,NA,NA,NA,NA
"1161","SSB-MT american lobster southern new england","LOBSTERSNE","ASMFC-LOBSTERSNE-1981-2007-STANTON","american lobster southern new england","SSB-MT",2002,4054,NA,NA,NA,NA,NA,NA
"1162","SSB-MT american lobster southern new england","LOBSTERSNE","ASMFC-LOBSTERSNE-1981-2007-STANTON","american lobster southern new england","SSB-MT",2003,3118,NA,NA,NA,NA,NA,NA
"1163","SSB-MT american lobster southern new england","LOBSTERSNE","ASMFC-LOBSTERSNE-1981-2007-STANTON","american lobster southern new england","SSB-MT",2004,3615,NA,NA,NA,NA,NA,NA
"1164","SSB-MT american lobster southern new england","LOBSTERSNE","ASMFC-LOBSTERSNE-1981-2007-STANTON","american lobster southern new england","SSB-MT",2005,4019,NA,NA,NA,NA,NA,NA
"1165","SSB-MT american lobster southern new england","LOBSTERSNE","ASMFC-LOBSTERSNE-1981-2007-STANTON","american lobster southern new england","SSB-MT",2006,3629,NA,NA,NA,NA,NA,NA
"1166","SSB-MT american lobster southern new england","LOBSTERSNE","ASMFC-LOBSTERSNE-1981-2007-STANTON","american lobster southern new england","SSB-MT",2007,3735,NA,NA,NA,NA,NA,NA
"1167","SSB-MT american plaice nafo-5yz","AMPL5YZ","NEFSC-AMPL5YZ-1960-2008-OBRIEN","american plaice nafo-5yz","SSB-MT",1962,NA,"AMPL5YZ","NEFSC-AMPL5YZ-1960-2008-OBRIEN","american plaice nafo-5yz","SSBmsy-MT",22243,NA
"1170","SSB-MT american plaice nafo-5yz","AMPL5YZ","NEFSC-AMPL5YZ-1960-2008-OBRIEN","american plaice nafo-5yz","SSB-MT",1973,NA,"AMPL5YZ","NEFSC-AMPL5YZ-1960-2008-OBRIEN","american plaice nafo-5yz","SSBmsy-MT",22243,NA
"1177","SSB-MT american plaice nafo-5yz","AMPL5YZ","NEFSC-AMPL5YZ-1960-2008-OBRIEN","american plaice nafo-5yz","SSB-MT",1961,NA,"AMPL5YZ","NEFSC-AMPL5YZ-1960-2008-OBRIEN","american plaice nafo-5yz","SSBmsy-MT",22243,NA
"1181","SSB-MT american plaice nafo-5yz","AMPL5YZ","NEFSC-AMPL5YZ-1960-2008-OBRIEN","american plaice nafo-5yz","SSB-MT",1966,NA,"AMPL5YZ","NEFSC-AMPL5YZ-1960-2008-OBRIEN","american plaice nafo-5yz","SSBmsy-MT",22243,NA
"1182","SSB-MT american plaice nafo-5yz","AMPL5YZ","NEFSC-AMPL5YZ-1960-2008-OBRIEN","american plaice nafo-5yz","SSB-MT",1979,NA,"AMPL5YZ","NEFSC-AMPL5YZ-1960-2008-OBRIEN","american plaice nafo-5yz","SSBmsy-MT",22243,NA
"1183","SSB-MT american plaice nafo-5yz","AMPL5YZ","NEFSC-AMPL5YZ-1960-2008-OBRIEN","american plaice nafo-5yz","SSB-MT",1971,NA,"AMPL5YZ","NEFSC-AMPL5YZ-1960-2008-OBRIEN","american plaice nafo-5yz","SSBmsy-MT",22243,NA
"1185","SSB-MT american plaice nafo-5yz","AMPL5YZ","NEFSC-AMPL5YZ-1960-2008-OBRIEN","american plaice nafo-5yz","SSB-MT",1960,NA,"AMPL5YZ","NEFSC-AMPL5YZ-1960-2008-OBRIEN","american plaice nafo-5yz","SSBmsy-MT",22243,NA
"1186","SSB-MT american plaice nafo-5yz","AMPL5YZ","NEFSC-AMPL5YZ-1960-2008-OBRIEN","american plaice nafo-5yz","SSB-MT",1967,NA,"AMPL5YZ","NEFSC-AMPL5YZ-1960-2008-OBRIEN","american plaice nafo-5yz","SSBmsy-MT",22243,NA
"1187","SSB-MT american plaice nafo-5yz","AMPL5YZ","NEFSC-AMPL5YZ-1960-2008-OBRIEN","american plaice nafo-5yz","SSB-MT",1968,NA,"AMPL5YZ","NEFSC-AMPL5YZ-1960-2008-OBRIEN","american plaice nafo-5yz","SSBmsy-MT",22243,NA
"1192","SSB-MT american plaice nafo-5yz","AMPL5YZ","NEFSC-AMPL5YZ-1960-2008-OBRIEN","american plaice nafo-5yz","SSB-MT",1969,NA,"AMPL5YZ","NEFSC-AMPL5YZ-1960-2008-OBRIEN","american plaice nafo-5yz","SSBmsy-MT",22243,NA
"1199","SSB-MT american plaice nafo-5yz","AMPL5YZ","NEFSC-AMPL5YZ-1960-2008-OBRIEN","american plaice nafo-5yz","SSB-MT",1963,NA,"AMPL5YZ","NEFSC-AMPL5YZ-1960-2008-OBRIEN","american plaice nafo-5yz","SSBmsy-MT",22243,NA
"1200","SSB-MT american plaice nafo-5yz","AMPL5YZ","NEFSC-AMPL5YZ-1960-2008-OBRIEN","american plaice nafo-5yz","SSB-MT",1974,NA,"AMPL5YZ","NEFSC-AMPL5YZ-1960-2008-OBRIEN","american plaice nafo-5yz","SSBmsy-MT",22243,NA
"1201","SSB-MT american plaice nafo-5yz","AMPL5YZ","NEFSC-AMPL5YZ-1960-2008-OBRIEN","american plaice nafo-5yz","SSB-MT",1976,NA,"AMPL5YZ","NEFSC-AMPL5YZ-1960-2008-OBRIEN","american plaice nafo-5yz","SSBmsy-MT",22243,NA
"1202","SSB-MT american plaice nafo-5yz","AMPL5YZ","NEFSC-AMPL5YZ-1960-2008-OBRIEN","american plaice nafo-5yz","SSB-MT",1970,NA,"AMPL5YZ","NEFSC-AMPL5YZ-1960-2008-OBRIEN","american plaice nafo-5yz","SSBmsy-MT",22243,NA
"1204","SSB-MT american plaice nafo-5yz","AMPL5YZ","NEFSC-AMPL5YZ-1960-2008-OBRIEN","american plaice nafo-5yz","SSB-MT",1964,NA,"AMPL5YZ","NEFSC-AMPL5YZ-1960-2008-OBRIEN","american plaice nafo-5yz","SSBmsy-MT",22243,NA
"1209","SSB-MT american plaice nafo-5yz","AMPL5YZ","NEFSC-AMPL5YZ-1960-2008-OBRIEN","american plaice nafo-5yz","SSB-MT",2008,NA,"AMPL5YZ","NEFSC-AMPL5YZ-1960-2008-OBRIEN","american plaice nafo-5yz","SSBmsy-MT",22243,NA
"1211","SSB-MT american plaice nafo-5yz","AMPL5YZ","NEFSC-AMPL5YZ-1960-2008-OBRIEN","american plaice nafo-5yz","SSB-MT",1965,NA,"AMPL5YZ","NEFSC-AMPL5YZ-1960-2008-OBRIEN","american plaice nafo-5yz","SSBmsy-MT",22243,NA
"1212","SSB-MT american plaice nafo-5yz","AMPL5YZ","NEFSC-AMPL5YZ-1960-2008-OBRIEN","american plaice nafo-5yz","SSB-MT",1972,NA,"AMPL5YZ","NEFSC-AMPL5YZ-1960-2008-OBRIEN","american plaice nafo-5yz","SSBmsy-MT",22243,NA
"1213","SSB-MT american plaice nafo-5yz","AMPL5YZ","NEFSC-AMPL5YZ-1960-2008-OBRIEN","american plaice nafo-5yz","SSB-MT",1978,NA,"AMPL5YZ","NEFSC-AMPL5YZ-1960-2008-OBRIEN","american plaice nafo-5yz","SSBmsy-MT",22243,NA
"1214","SSB-MT american plaice nafo-5yz","AMPL5YZ","NEFSC-AMPL5YZ-1960-2008-OBRIEN","american plaice nafo-5yz","SSB-MT",1975,NA,"AMPL5YZ","NEFSC-AMPL5YZ-1960-2008-OBRIEN","american plaice nafo-5yz","SSBmsy-MT",22243,NA
"1215","SSB-MT american plaice nafo-5yz","AMPL5YZ","NEFSC-AMPL5YZ-1960-2008-OBRIEN","american plaice nafo-5yz","SSB-MT",1977,NA,"AMPL5YZ","NEFSC-AMPL5YZ-1960-2008-OBRIEN","american plaice nafo-5yz","SSBmsy-MT",22243,NA
"1308","SSB-MT atlantic butterfish gulf of maine / cape hatteras","BUTTERGOMCHATT","NEFSC-BUTTERGOMCHATT-1965-2008-YOUNG","atlantic butterfish gulf of maine / cape hatteras","SSB-MT",1965,NA,NA,NA,NA,NA,NA,NA
"1309","SSB-MT atlantic butterfish gulf of maine / cape hatteras","BUTTERGOMCHATT","NEFSC-BUTTERGOMCHATT-1965-2008-YOUNG","atlantic butterfish gulf of maine / cape hatteras","SSB-MT",1966,NA,NA,NA,NA,NA,NA,NA
"1310","SSB-MT atlantic butterfish gulf of maine / cape hatteras","BUTTERGOMCHATT","NEFSC-BUTTERGOMCHATT-1965-2008-YOUNG","atlantic butterfish gulf of maine / cape hatteras","SSB-MT",1967,NA,NA,NA,NA,NA,NA,NA
"1311","SSB-MT atlantic butterfish gulf of maine / cape hatteras","BUTTERGOMCHATT","NEFSC-BUTTERGOMCHATT-1965-2008-YOUNG","atlantic butterfish gulf of maine / cape hatteras","SSB-MT",1968,NA,NA,NA,NA,NA,NA,NA
"1312","SSB-MT atlantic butterfish gulf of maine / cape hatteras","BUTTERGOMCHATT","NEFSC-BUTTERGOMCHATT-1965-2008-YOUNG","atlantic butterfish gulf of maine / cape hatteras","SSB-MT",1969,NA,NA,NA,NA,NA,NA,NA
"1313","SSB-MT atlantic butterfish gulf of maine / cape hatteras","BUTTERGOMCHATT","NEFSC-BUTTERGOMCHATT-1965-2008-YOUNG","atlantic butterfish gulf of maine / cape hatteras","SSB-MT",1970,NA,NA,NA,NA,NA,NA,NA
"1314","SSB-MT atlantic butterfish gulf of maine / cape hatteras","BUTTERGOMCHATT","NEFSC-BUTTERGOMCHATT-1965-2008-YOUNG","atlantic butterfish gulf of maine / cape hatteras","SSB-MT",1971,NA,NA,NA,NA,NA,NA,NA
"1315","SSB-MT atlantic butterfish gulf of maine / cape hatteras","BUTTERGOMCHATT","NEFSC-BUTTERGOMCHATT-1965-2008-YOUNG","atlantic butterfish gulf of maine / cape hatteras","SSB-MT",1972,NA,NA,NA,NA,NA,NA,NA
"1316","SSB-MT atlantic butterfish gulf of maine / cape hatteras","BUTTERGOMCHATT","NEFSC-BUTTERGOMCHATT-1965-2008-YOUNG","atlantic butterfish gulf of maine / cape hatteras","SSB-MT",1973,NA,NA,NA,NA,NA,NA,NA
"1317","SSB-MT atlantic butterfish gulf of maine / cape hatteras","BUTTERGOMCHATT","NEFSC-BUTTERGOMCHATT-1965-2008-YOUNG","atlantic butterfish gulf of maine / cape hatteras","SSB-MT",1974,134480,NA,NA,NA,NA,NA,NA
"1318","SSB-MT atlantic butterfish gulf of maine / cape hatteras","BUTTERGOMCHATT","NEFSC-BUTTERGOMCHATT-1965-2008-YOUNG","atlantic butterfish gulf of maine / cape hatteras","SSB-MT",1975,199570,NA,NA,NA,NA,NA,NA
"1319","SSB-MT atlantic butterfish gulf of maine / cape hatteras","BUTTERGOMCHATT","NEFSC-BUTTERGOMCHATT-1965-2008-YOUNG","atlantic butterfish gulf of maine / cape hatteras","SSB-MT",1976,111560,NA,NA,NA,NA,NA,NA
"1320","SSB-MT atlantic butterfish gulf of maine / cape hatteras","BUTTERGOMCHATT","NEFSC-BUTTERGOMCHATT-1965-2008-YOUNG","atlantic butterfish gulf of maine / cape hatteras","SSB-MT",1977,91690,NA,NA,NA,NA,NA,NA
"1321","SSB-MT atlantic butterfish gulf of maine / cape hatteras","BUTTERGOMCHATT","NEFSC-BUTTERGOMCHATT-1965-2008-YOUNG","atlantic butterfish gulf of maine / cape hatteras","SSB-MT",1978,63770,NA,NA,NA,NA,NA,NA
"1322","SSB-MT atlantic butterfish gulf of maine / cape hatteras","BUTTERGOMCHATT","NEFSC-BUTTERGOMCHATT-1965-2008-YOUNG","atlantic butterfish gulf of maine / cape hatteras","SSB-MT",1979,71250,NA,NA,NA,NA,NA,NA
"1323","SSB-MT atlantic butterfish gulf of maine / cape hatteras","BUTTERGOMCHATT","NEFSC-BUTTERGOMCHATT-1965-2008-YOUNG","atlantic butterfish gulf of maine / cape hatteras","SSB-MT",1980,123730,NA,NA,NA,NA,NA,NA
"1324","SSB-MT atlantic butterfish gulf of maine / cape hatteras","BUTTERGOMCHATT","NEFSC-BUTTERGOMCHATT-1965-2008-YOUNG","atlantic butterfish gulf of maine / cape hatteras","SSB-MT",1981,170320,NA,NA,NA,NA,NA,NA
"1325","SSB-MT atlantic butterfish gulf of maine / cape hatteras","BUTTERGOMCHATT","NEFSC-BUTTERGOMCHATT-1965-2008-YOUNG","atlantic butterfish gulf of maine / cape hatteras","SSB-MT",1982,167050,NA,NA,NA,NA,NA,NA
"1326","SSB-MT atlantic butterfish gulf of maine / cape hatteras","BUTTERGOMCHATT","NEFSC-BUTTERGOMCHATT-1965-2008-YOUNG","atlantic butterfish gulf of maine / cape hatteras","SSB-MT",1983,100520,NA,NA,NA,NA,NA,NA
"1327","SSB-MT atlantic butterfish gulf of maine / cape hatteras","BUTTERGOMCHATT","NEFSC-BUTTERGOMCHATT-1965-2008-YOUNG","atlantic butterfish gulf of maine / cape hatteras","SSB-MT",1984,131900,NA,NA,NA,NA,NA,NA
"1328","SSB-MT atlantic butterfish gulf of maine / cape hatteras","BUTTERGOMCHATT","NEFSC-BUTTERGOMCHATT-1965-2008-YOUNG","atlantic butterfish gulf of maine / cape hatteras","SSB-MT",1985,137370,NA,NA,NA,NA,NA,NA
"1329","SSB-MT atlantic butterfish gulf of maine / cape hatteras","BUTTERGOMCHATT","NEFSC-BUTTERGOMCHATT-1965-2008-YOUNG","atlantic butterfish gulf of maine / cape hatteras","SSB-MT",1986,139400,NA,NA,NA,NA,NA,NA
"1330","SSB-MT atlantic butterfish gulf of maine / cape hatteras","BUTTERGOMCHATT","NEFSC-BUTTERGOMCHATT-1965-2008-YOUNG","atlantic butterfish gulf of maine / cape hatteras","SSB-MT",1987,105220,NA,NA,NA,NA,NA,NA
"1331","SSB-MT atlantic butterfish gulf of maine / cape hatteras","BUTTERGOMCHATT","NEFSC-BUTTERGOMCHATT-1965-2008-YOUNG","atlantic butterfish gulf of maine / cape hatteras","SSB-MT",1988,69220,NA,NA,NA,NA,NA,NA
"1332","SSB-MT atlantic butterfish gulf of maine / cape hatteras","BUTTERGOMCHATT","NEFSC-BUTTERGOMCHATT-1965-2008-YOUNG","atlantic butterfish gulf of maine / cape hatteras","SSB-MT",1989,97690,NA,NA,NA,NA,NA,NA
"1333","SSB-MT atlantic butterfish gulf of maine / cape hatteras","BUTTERGOMCHATT","NEFSC-BUTTERGOMCHATT-1965-2008-YOUNG","atlantic butterfish gulf of maine / cape hatteras","SSB-MT",1990,112470,NA,NA,NA,NA,NA,NA
"1334","SSB-MT atlantic butterfish gulf of maine / cape hatteras","BUTTERGOMCHATT","NEFSC-BUTTERGOMCHATT-1965-2008-YOUNG","atlantic butterfish gulf of maine / cape hatteras","SSB-MT",1991,125710,NA,NA,NA,NA,NA,NA
"1335","SSB-MT atlantic butterfish gulf of maine / cape hatteras","BUTTERGOMCHATT","NEFSC-BUTTERGOMCHATT-1965-2008-YOUNG","atlantic butterfish gulf of maine / cape hatteras","SSB-MT",1992,96050,NA,NA,NA,NA,NA,NA
"1336","SSB-MT atlantic butterfish gulf of maine / cape hatteras","BUTTERGOMCHATT","NEFSC-BUTTERGOMCHATT-1965-2008-YOUNG","atlantic butterfish gulf of maine / cape hatteras","SSB-MT",1993,104250,NA,NA,NA,NA,NA,NA
"1337","SSB-MT atlantic butterfish gulf of maine / cape hatteras","BUTTERGOMCHATT","NEFSC-BUTTERGOMCHATT-1965-2008-YOUNG","atlantic butterfish gulf of maine / cape hatteras","SSB-MT",1994,102120,NA,NA,NA,NA,NA,NA
"1338","SSB-MT atlantic butterfish gulf of maine / cape hatteras","BUTTERGOMCHATT","NEFSC-BUTTERGOMCHATT-1965-2008-YOUNG","atlantic butterfish gulf of maine / cape hatteras","SSB-MT",1995,140690,NA,NA,NA,NA,NA,NA
"1339","SSB-MT atlantic butterfish gulf of maine / cape hatteras","BUTTERGOMCHATT","NEFSC-BUTTERGOMCHATT-1965-2008-YOUNG","atlantic butterfish gulf of maine / cape hatteras","SSB-MT",1996,84840,NA,NA,NA,NA,NA,NA
"1340","SSB-MT atlantic butterfish gulf of maine / cape hatteras","BUTTERGOMCHATT","NEFSC-BUTTERGOMCHATT-1965-2008-YOUNG","atlantic butterfish gulf of maine / cape hatteras","SSB-MT",1997,58800,NA,NA,NA,NA,NA,NA
"1341","SSB-MT atlantic butterfish gulf of maine / cape hatteras","BUTTERGOMCHATT","NEFSC-BUTTERGOMCHATT-1965-2008-YOUNG","atlantic butterfish gulf of maine / cape hatteras","SSB-MT",1998,85800,NA,NA,NA,NA,NA,NA
"1342","SSB-MT atlantic butterfish gulf of maine / cape hatteras","BUTTERGOMCHATT","NEFSC-BUTTERGOMCHATT-1965-2008-YOUNG","atlantic butterfish gulf of maine / cape hatteras","SSB-MT",1999,82490,NA,NA,NA,NA,NA,NA
"1343","SSB-MT atlantic butterfish gulf of maine / cape hatteras","BUTTERGOMCHATT","NEFSC-BUTTERGOMCHATT-1965-2008-YOUNG","atlantic butterfish gulf of maine / cape hatteras","SSB-MT",2000,108200,NA,NA,NA,NA,NA,NA
"1344","SSB-MT atlantic butterfish gulf of maine / cape hatteras","BUTTERGOMCHATT","NEFSC-BUTTERGOMCHATT-1965-2008-YOUNG","atlantic butterfish gulf of maine / cape hatteras","SSB-MT",2001,98170,NA,NA,NA,NA,NA,NA
"1345","SSB-MT atlantic butterfish gulf of maine / cape hatteras","BUTTERGOMCHATT","NEFSC-BUTTERGOMCHATT-1965-2008-YOUNG","atlantic butterfish gulf of maine / cape hatteras","SSB-MT",2002,63640,NA,NA,NA,NA,NA,NA
